name	x	y	z	size	type
A1	13.457	-33.296	-32.830	unknown	SEEG
A2	16.165	-28.780	-30.500	unknown	SEEG
A3	19.294	-23.492	-29.500	unknown	SEEG
A4	22.228	-18.400	-27.500	unknown	SEEG
A5	24.966	-12.524	-25.500	unknown	SEEG
A6	27.703	-6.649	-23.500	unknown	SEEG
A7	30.441	-1.165	-21.500	unknown	SEEG
A8	33.375	4.319	-19.500	unknown	SEEG
A9	36.113	10.194	-17.500	unknown	SEEG
A10	38.760	15.871	-15.500	unknown	SEEG
A11	41.806	21.586	-13.500	unknown	SEEG
A12	44.585	27.499	-11.500	unknown	SEEG
A13	47.363	33.063	-9.500	unknown	SEEG
A14	50.122	38.058	-8.500	unknown	SEEG
A15	53.135	44.000	-6.500	unknown	SEEG
B1	-5.249	-16.148	-10.078	unknown	SEEG
B2	-2.371	-16.148	-10.823	unknown	SEEG
B3	1.303	-16.441	-11.500	unknown	SEEG
B4	4.607	-16.945	-11.987	unknown	SEEG
B5	7.952	-17.029	-12.500	unknown	SEEG
B6	11.472	-17.421	-13.500	unknown	SEEG
B7	14.878	-17.887	-13.928	unknown	SEEG
B8	18.316	-18.400	-14.500	unknown	SEEG
B9	22.049	-18.828	-15.093	unknown	SEEG
B10	25.344	-19.299	-15.869	unknown	SEEG
B11	28.681	-19.575	-16.500	unknown	SEEG
B12	32.127	-19.770	-17.034	unknown	SEEG
B13	35.526	-20.358	-17.500	unknown	SEEG
B14	39.166	-20.915	-18.500	unknown	SEEG
C1	6.775	0.222	-12.997	unknown	SEEG
C2	10.134	-0.072	-12.997	unknown	SEEG
C3	13.458	-0.268	-12.997	unknown	SEEG
C4	16.783	-0.855	-12.997	unknown	SEEG
C5	20.111	-0.941	-13.152	unknown	SEEG
C6	23.823	-1.051	-13.500	unknown	SEEG
C7	27.088	-1.412	-13.734	unknown	SEEG
C8	30.577	-1.412	-13.928	unknown	SEEG
C9	34.259	-1.883	-14.316	unknown	SEEG
C10	37.708	-2.226	-14.500	unknown	SEEG
C11	41.236	-2.824	-14.899	unknown	SEEG
C12	44.531	-2.824	-14.899	unknown	SEEG
C13	48.213	-3.295	-15.093	unknown	SEEG
