name	x	y	z	size	type
A1	-18.451	-48.060	-37.997	unknown	SEEG
A2	-21.099	-48.828	-37.713	unknown	SEEG
A3	-24.692	-50.000	-36.955	unknown	SEEG
A4	-28.293	-51.063	-36.500	unknown	SEEG
A5	-31.689	-52.344	-36.008	unknown	SEEG
A6	-34.854	-53.129	-35.500	unknown	SEEG
A7	-37.929	-54.297	-35.440	unknown	SEEG
A8	-41.506	-55.249	-34.892	unknown	SEEG
B1	-25.672	23.316	-23.500	unknown	SEEG
B2	-28.536	22.795	-23.500	unknown	SEEG
B3	-32.160	22.266	-23.010	unknown	SEEG
B4	-35.753	22.266	-22.820	unknown	SEEG
B5	-39.298	21.578	-22.500	unknown	SEEG
B6	-42.596	21.057	-22.500	unknown	SEEG
B7	-45.965	20.703	-22.063	unknown	SEEG
B8	-49.369	20.703	-21.873	unknown	SEEG
B9	-52.837	20.014	-21.500	unknown	SEEG
B10	-56.555	19.531	-21.116	unknown	SEEG
C1	-18.168	-58.349	-18.500	unknown	SEEG
C2	-20.860	-58.349	-18.002	unknown	SEEG
C3	-24.330	-58.870	-17.500	unknown	SEEG
C4	-27.975	-59.218	-17.500	unknown	SEEG
C5	-31.354	-59.375	-16.796	unknown	SEEG
C6	-35.092	-59.913	-16.500	unknown	SEEG
C7	-38.319	-60.153	-15.984	unknown	SEEG
D1	-39.100	-29.750	-14.025	unknown	SEEG
D2	-41.617	-30.967	-12.500	unknown	SEEG
D3	-44.915	-32.879	-11.500	unknown	SEEG
D4	-47.755	-34.441	-10.500	unknown	SEEG
E1	-40.997	9.851	-10.500	unknown	SEEG
E2	-44.208	9.156	-8.500	unknown	SEEG
E3	-47.159	8.982	-7.500	unknown	SEEG
E4	-50.110	8.461	-6.500	unknown	SEEG
E5	-53.581	7.939	-4.500	unknown	SEEG
E6	-56.879	7.592	-3.500	unknown	SEEG
E7	-60.004	7.244	-2.500	unknown	SEEG
E8	-63.831	7.024	-0.500	unknown	SEEG
E9	-65.732	7.244	-2.500	unknown	SEEG
F1	-11.677	-56.866	0.067	unknown	SEEG
F2	-14.020	-57.127	0.500	unknown	SEEG
F3	-17.764	-57.558	0.933	unknown	SEEG
F4	-21.205	-58.078	1.107	unknown	SEEG
F5	-24.608	-58.424	1.800	unknown	SEEG
F6	-28.257	-58.943	1.973	unknown	SEEG
F7	-31.526	-59.375	2.326	unknown	SEEG
F8	-35.022	-60.066	2.500	unknown	SEEG
G1	-9.492	37.086	16.865	unknown	SEEG
G2	-12.356	37.607	16.865	unknown	SEEG
G3	-16.216	37.891	16.624	unknown	SEEG
G4	-19.656	38.281	16.451	unknown	SEEG
G5	-23.097	38.557	16.085	unknown	SEEG
G6	-26.709	39.062	16.107	unknown	SEEG
G7	-30.149	39.453	16.107	unknown	SEEG
G8	-33.590	39.844	15.935	unknown	SEEG
G9	-36.686	40.234	15.935	unknown	SEEG
G10	-40.470	40.625	15.590	unknown	SEEG
G11	-43.947	41.084	15.500	unknown	SEEG
G12	-47.383	41.401	15.500	unknown	SEEG
H1	-10.210	-41.271	-7.474	unknown	SEEG
H2	-13.288	-42.076	-8.028	unknown	SEEG
H3	-16.520	-42.578	-8.148	unknown	SEEG
H4	-20.058	-43.359	-8.148	unknown	SEEG
H5	-23.473	-44.133	-8.500	unknown	SEEG
H6	-26.867	-44.938	-8.500	unknown	SEEG
H7	-30.387	-45.703	-8.431	unknown	SEEG
H8	-33.577	-46.416	-8.500	unknown	SEEG
H9	-37.320	-47.266	-8.714	unknown	SEEG
H10	-40.574	-48.047	-8.856	unknown	SEEG
H11	-44.255	-49.219	-9.044	unknown	SEEG
H12	-47.507	-49.973	-9.500	unknown	SEEG
