name	x	y	z	size	type
A1	3.842	-8.455	-7.510	unknown	SEEG
A2	7.059	-8.818	-7.327	unknown	SEEG
A3	10.541	-9.393	-7.000	unknown	SEEG
A4	13.999	-10.114	-7.000	unknown	SEEG
A5	17.312	-10.691	-7.000	unknown	SEEG
A6	20.540	-10.918	-6.652	unknown	SEEG
A7	24.247	-11.758	-6.484	unknown	SEEG
A8	27.617	-12.598	-6.484	unknown	SEEG
A9	30.988	-13.018	-6.315	unknown	SEEG
A10	34.744	-13.577	-6.000	unknown	SEEG
A11	37.897	-14.277	-5.640	unknown	SEEG
A12	41.436	-14.697	-5.471	unknown	SEEG
A13	44.974	-15.537	-5.471	unknown	SEEG
A14	48.405	-15.879	-5.000	unknown	SEEG
B1	34.695	17.683	15.624	unknown	SEEG
B2	38.321	18.098	17.000	unknown	SEEG
B3	41.635	18.098	18.000	unknown	SEEG
B4	44.804	18.098	19.000	unknown	SEEG
B5	48.262	18.098	20.000	unknown	SEEG
B6	51.431	17.809	21.000	unknown	SEEG
B7	54.525	17.426	21.584	unknown	SEEG
C1	15.918	15.140	38.538	unknown	SEEG
C2	19.701	15.537	39.011	unknown	SEEG
C3	22.653	15.957	39.750	unknown	SEEG
C4	26.436	16.377	40.489	unknown	SEEG
C5	30.150	16.800	41.000	unknown	SEEG
C6	33.400	17.217	41.685	unknown	SEEG
C7	36.861	17.637	42.522	unknown	SEEG
C8	40.419	18.384	43.000	unknown	SEEG
C9	43.368	18.477	43.711	unknown	SEEG
C10	46.980	19.316	44.434	unknown	SEEG
C11	50.605	19.740	45.289	unknown	SEEG
D1	-5.523	11.896	41.478	unknown	SEEG
D2	-2.097	11.338	41.745	unknown	SEEG
D3	2.113	10.918	41.941	unknown	SEEG
D4	5.833	10.498	41.745	unknown	SEEG
D5	10.020	9.396	42.000	unknown	SEEG
D6	13.959	8.818	42.039	unknown	SEEG
D7	17.590	8.267	42.000	unknown	SEEG
D8	21.606	7.559	42.321	unknown	SEEG
D9	25.264	6.719	42.321	unknown	SEEG
D10	29.227	5.879	42.474	unknown	SEEG
D11	32.891	5.202	43.000	unknown	SEEG
D12	37.000	4.619	43.389	unknown	SEEG
D13	41.051	3.779	43.549	unknown	SEEG
D14	44.876	3.359	43.775	unknown	SEEG
D15	49.013	2.626	44.000	unknown	SEEG
D16	53.064	1.802	44.000	unknown	SEEG
E1	-6.679	-49.291	46.134	unknown	SEEG
E2	-3.327	-49.131	47.252	unknown	SEEG
E3	0.025	-49.131	48.691	unknown	SEEG
E4	3.537	-49.131	49.810	unknown	SEEG
E5	6.570	-49.131	50.609	unknown	SEEG
E6	9.762	-49.131	51.888	unknown	SEEG
E7	12.943	-48.722	53.000	unknown	SEEG
F1	-7.239	25.884	46.549	unknown	SEEG
F2	-3.965	26.455	47.572	unknown	SEEG
F3	-0.453	27.295	48.371	unknown	SEEG
F4	2.905	27.645	49.000	unknown	SEEG
F5	6.251	28.135	49.650	unknown	SEEG
F6	9.762	28.975	50.290	unknown	SEEG
F7	13.114	29.395	51.249	unknown	SEEG
F8	16.340	29.812	52.000	unknown	SEEG
F9	19.898	30.403	53.000	unknown	SEEG
F10	23.170	30.654	53.647	unknown	SEEG
F11	26.682	31.494	54.606	unknown	SEEG
F12	29.887	31.933	55.000	unknown	SEEG
F13	33.430	32.578	56.000	unknown	SEEG
F14	36.578	33.174	56.524	unknown	SEEG
F15	40.008	33.439	57.320	unknown	SEEG
G1	-4.332	-13.327	48.693	unknown	SEEG
G2	-1.173	-14.499	48.693	unknown	SEEG
G3	1.840	-15.505	48.693	unknown	SEEG
G4	5.020	-16.846	48.693	unknown	SEEG
G5	8.200	-18.187	48.693	unknown	SEEG
G6	11.547	-19.360	48.693	unknown	SEEG
G7	14.895	-20.701	48.693	unknown	SEEG
G8	18.410	-22.042	48.693	unknown	SEEG
G9	21.423	-23.215	48.693	unknown	SEEG
G10	24.770	-24.556	48.693	unknown	SEEG
G11	27.915	-25.719	48.693	unknown	SEEG
G12	31.327	-27.048	48.693	unknown	SEEG
G13	34.738	-28.187	48.693	unknown	SEEG
G14	38.381	-29.622	48.562	unknown	SEEG
H1	-7.636	4.076	56.524	unknown	SEEG
H2	-4.162	3.616	56.524	unknown	SEEG
H3	-0.748	2.696	56.524	unknown	SEEG
H4	2.666	2.038	56.524	unknown	SEEG
H5	6.080	1.118	56.524	unknown	SEEG
H6	9.494	0.329	56.524	unknown	SEEG
H7	12.776	-0.592	56.524	unknown	SEEG
H8	16.322	-1.512	56.524	unknown	SEEG
H9	19.867	-2.301	56.524	unknown	SEEG
H10	23.281	-3.353	56.524	unknown	SEEG
H11	26.695	-4.274	56.524	unknown	SEEG
H12	30.109	-5.194	56.524	unknown	SEEG
H13	33.391	-6.246	56.524	unknown	SEEG
H14	36.674	-7.035	56.524	unknown	SEEG
H15	40.302	-8.062	56.524	unknown	SEEG
