name	x	y	z	size	type
A1	6.898	28.924	57.619	unknown	SEEG
A2	9.894	28.924	56.994	unknown	SEEG
A3	13.519	28.739	56.500	unknown	SEEG
A4	17.010	28.364	56.119	unknown	SEEG
A5	20.256	28.364	55.994	unknown	SEEG
A6	23.876	28.364	55.120	unknown	SEEG
A7	26.997	28.364	54.995	unknown	SEEG
A8	30.666	28.364	54.500	unknown	SEEG
A9	34.113	28.364	53.870	unknown	SEEG
A10	37.483	27.960	53.995	unknown	SEEG
A11	41.067	28.082	53.500	unknown	SEEG
A12	44.599	27.960	52.870	unknown	SEEG
A13	48.570	27.960	52.500	unknown	SEEG
A14	52.090	27.960	51.870	unknown	SEEG
B1	5.254	44.395	55.925	unknown	SEEG
B2	8.445	44.395	54.982	unknown	SEEG
B3	12.415	44.560	54.500	unknown	SEEG
B4	15.762	44.395	53.975	unknown	SEEG
B5	19.054	44.395	53.884	unknown	SEEG
B6	22.555	44.431	53.500	unknown	SEEG
B7	26.097	44.395	53.151	unknown	SEEG
B8	29.481	44.395	52.693	unknown	SEEG
B9	32.957	44.395	52.053	unknown	SEEG
B10	36.615	44.395	52.053	unknown	SEEG
B11	40.183	44.395	52.053	unknown	SEEG
B12	43.568	44.395	51.500	unknown	SEEG
C1	15.259	12.256	73.030	unknown	SEEG
C2	17.653	12.961	71.500	unknown	SEEG
C3	20.610	13.172	70.500	unknown	SEEG
C4	23.849	13.525	68.500	unknown	SEEG
C5	26.666	13.666	66.500	unknown	SEEG
C6	29.271	13.877	64.500	unknown	SEEG
C7	31.665	13.736	63.500	unknown	SEEG
C8	34.693	13.666	61.500	unknown	SEEG
C9	37.368	13.736	59.500	unknown	SEEG
C10	40.467	13.595	57.500	unknown	SEEG
C11	43.611	13.699	55.500	unknown	SEEG
C12	46.879	13.603	53.500	unknown	SEEG
C13	50.372	13.658	52.500	unknown	SEEG
C14	53.859	13.428	52.010	unknown	SEEG
D1	1.619	45.102	40.514	unknown	SEEG
D2	4.437	45.102	40.770	unknown	SEEG
D3	8.049	45.269	40.653	unknown	SEEG
D4	11.480	45.592	40.514	unknown	SEEG
D5	14.810	46.082	40.001	unknown	SEEG
D6	18.396	46.572	39.873	unknown	SEEG
D7	21.854	46.572	39.744	unknown	SEEG
D8	25.282	46.994	39.500	unknown	SEEG
D9	28.770	47.533	39.103	unknown	SEEG
D10	32.356	47.533	38.975	unknown	SEEG
D11	35.942	48.043	38.847	unknown	SEEG
D12	39.528	48.043	38.591	unknown	SEEG
D13	42.986	48.533	38.334	unknown	SEEG
D14	46.346	48.852	38.163	unknown	SEEG
D15	49.992	49.131	38.022	unknown	SEEG
E1	-2.399	66.317	34.843	unknown	SEEG
E2	0.683	66.227	34.843	unknown	SEEG
E3	4.166	66.182	34.785	unknown	SEEG
E4	7.663	66.182	34.645	unknown	SEEG
E5	11.580	66.182	34.435	unknown	SEEG
E6	15.077	66.182	34.154	unknown	SEEG
E7	18.435	66.182	34.294	unknown	SEEG
E8	21.792	66.182	34.224	unknown	SEEG
E9	25.289	66.182	34.294	unknown	SEEG
E10	28.647	66.182	34.294	unknown	SEEG
E11	32.214	66.672	34.154	unknown	SEEG
E12	35.991	66.672	34.084	unknown	SEEG
E13	39.488	66.672	34.505	unknown	SEEG
E14	43.111	67.007	34.500	unknown	SEEG
F1	4.035	26.879	37.500	unknown	SEEG
F2	6.465	26.256	37.360	unknown	SEEG
F3	10.051	25.944	37.001	unknown	SEEG
F4	13.578	25.529	36.500	unknown	SEEG
F5	17.001	24.906	36.500	unknown	SEEG
F6	20.528	24.758	35.899	unknown	SEEG
F7	23.847	24.250	35.899	unknown	SEEG
F8	27.581	23.911	35.390	unknown	SEEG
F9	30.918	23.245	34.998	unknown	SEEG
F10	34.536	22.622	34.998	unknown	SEEG
F11	37.954	22.217	34.966	unknown	SEEG
F12	41.507	21.878	34.966	unknown	SEEG
F13	44.819	21.446	34.500	unknown	SEEG
F14	48.237	20.980	34.500	unknown	SEEG
F15	51.855	20.401	34.500	unknown	SEEG
F16	55.284	19.761	34.500	unknown	SEEG
G1	1.930	59.073	30.936	unknown	SEEG
G2	4.654	59.073	30.522	unknown	SEEG
G3	8.296	59.035	29.873	unknown	SEEG
G4	11.524	58.742	29.500	unknown	SEEG
G5	15.166	58.790	29.219	unknown	SEEG
