name	x	y	z	size	type
A1	-6.614	-47.868	5.706	unknown	SEEG
A2	-9.826	-47.868	4.770	unknown	SEEG
A3	-12.753	-47.578	4.142	unknown	SEEG
A4	-16.595	-47.422	3.500	unknown	SEEG
A5	-19.861	-47.578	2.885	unknown	SEEG
A6	-23.206	-47.125	2.047	unknown	SEEG
A7	-26.594	-47.004	1.500	unknown	SEEG
A8	-29.896	-46.672	0.790	unknown	SEEG
A9	-33.241	-46.672	0.162	unknown	SEEG
A10	-36.586	-46.219	-0.048	unknown	SEEG
B1	-5.017	-38.708	25.139	unknown	SEEG
B2	-7.637	-38.864	24.500	unknown	SEEG
B3	-11.595	-38.864	23.500	unknown	SEEG
B4	-14.720	-39.490	22.500	unknown	SEEG
B5	-18.053	-39.699	21.500	unknown	SEEG
B6	-21.594	-40.117	20.500	unknown	SEEG
B7	-24.928	-40.534	19.500	unknown	SEEG
B8	-28.224	-40.781	19.014	unknown	SEEG
B9	-31.987	-40.781	18.176	unknown	SEEG
B10	-35.344	-41.369	17.500	unknown	SEEG
B11	-38.677	-41.688	16.709	unknown	SEEG
B12	-42.085	-42.661	15.997	unknown	SEEG
C1	-4.824	-59.215	30.509	unknown	SEEG
C2	-8.118	-58.693	30.135	unknown	SEEG
C3	-11.803	-58.276	29.500	unknown	SEEG
C4	-15.017	-57.858	29.087	unknown	SEEG
C5	-18.261	-57.441	28.500	unknown	SEEG
C6	-21.707	-56.815	28.040	unknown	SEEG
C7	-25.471	-56.397	27.412	unknown	SEEG
C8	-28.607	-55.980	26.783	unknown	SEEG
C9	-32.161	-55.353	25.945	unknown	SEEG
C10	-35.559	-54.849	25.896	unknown	SEEG
D1	-16.662	2.100	42.084	unknown	SEEG
D2	-19.890	2.413	41.500	unknown	SEEG
D3	-23.224	2.622	40.500	unknown	SEEG
D4	-26.974	2.831	39.500	unknown	SEEG
D5	-30.307	3.248	38.500	unknown	SEEG
D6	-33.848	3.457	37.500	unknown	SEEG
D7	-37.181	3.457	36.500	unknown	SEEG
D8	-40.723	3.457	35.500	unknown	SEEG
D9	-44.264	3.457	35.500	unknown	SEEG
D10	-47.389	3.457	34.500	unknown	SEEG
D11	-50.722	3.666	33.500	unknown	SEEG
D12	-54.339	3.466	32.500	unknown	SEEG
E1	1.879	-26.630	39.980	unknown	SEEG
E2	5.197	-26.542	39.986	unknown	SEEG
E3	8.607	-26.734	39.770	unknown	SEEG
E4	11.952	-26.281	39.561	unknown	SEEG
E5	15.506	-26.281	38.932	unknown	SEEG
E6	18.851	-26.124	38.723	unknown	SEEG
E7	22.405	-26.124	38.513	unknown	SEEG
E8	26.029	-26.124	38.500	unknown	SEEG
E9	29.570	-25.916	38.500	unknown	SEEG
E10	32.859	-25.498	38.304	unknown	SEEG
E11	36.413	-25.498	38.304	unknown	SEEG
E12	39.967	-25.498	38.094	unknown	SEEG
E13	43.435	-25.160	37.800	unknown	SEEG
F1	-6.798	-40.435	45.500	unknown	SEEG
F2	-10.428	-40.317	44.500	unknown	SEEG
F3	-13.553	-40.109	43.500	unknown	SEEG
F4	-16.899	-39.875	43.121	unknown	SEEG
F5	-20.453	-39.875	42.703	unknown	SEEG
F6	-24.007	-39.875	42.284	unknown	SEEG
F7	-27.561	-39.422	41.865	unknown	SEEG
F8	-30.697	-39.422	41.236	unknown	SEEG
F9	-34.244	-38.961	41.021	unknown	SEEG
G1	-8.152	-14.554	43.149	unknown	SEEG
G2	-10.000	-15.271	45.426	unknown	SEEG
G3	-12.300	-16.523	47.939	unknown	SEEG
G4	-14.594	-17.567	50.500	unknown	SEEG
G5	-16.677	-18.401	52.500	unknown	SEEG
G6	-19.177	-19.654	55.500	unknown	SEEG
G7	-20.918	-20.759	57.500	unknown	SEEG
H1	-2.121	-32.490	51.853	unknown	SEEG
H2	0.697	-32.490	51.500	unknown	SEEG
H3	4.634	-32.402	51.500	unknown	SEEG
H4	8.272	-32.490	51.324	unknown	SEEG
H5	11.795	-32.490	51.676	unknown	SEEG
H6	15.319	-32.490	51.853	unknown	SEEG
H7	18.842	-32.490	52.029	unknown	SEEG
H8	22.365	-32.490	52.029	unknown	SEEG
H9	26.064	-32.490	52.029	unknown	SEEG
H10	29.348	-32.379	52.500	unknown	SEEG
