name	x	y	z	size	type
A1	10.676	-13.843	60.606	unknown	SEEG
A2	7.897	-13.672	61.023	unknown	SEEG
A3	4.563	-13.672	61.441	unknown	SEEG
A4	0.890	-13.559	62.000	unknown	SEEG
A5	-2.522	-13.672	62.275	unknown	SEEG
A6	-6.271	-13.283	63.000	unknown	SEEG
A7	-9.607	-13.672	63.527	unknown	SEEG
A8	-12.881	-13.421	64.000	unknown	SEEG
A9	-16.553	-13.672	64.501	unknown	SEEG
A10	-19.905	-13.421	65.000	unknown	SEEG
A11	-23.221	-13.843	65.197	unknown	SEEG
A12	-26.694	-13.843	65.614	unknown	SEEG
A13	-30.383	-13.953	66.559	unknown	SEEG
B1	6.606	-26.730	54.273	unknown	SEEG
B2	3.232	-26.661	54.273	unknown	SEEG
B3	-0.095	-26.730	53.766	unknown	SEEG
B4	-3.568	-26.730	53.626	unknown	SEEG
B5	-6.902	-26.730	53.348	unknown	SEEG
B6	-10.540	-26.661	53.000	unknown	SEEG
B7	-14.126	-26.730	52.792	unknown	SEEG
B8	-17.321	-26.730	52.374	unknown	SEEG
B9	-20.933	-26.730	52.513	unknown	SEEG
B10	-24.406	-26.730	52.513	unknown	SEEG
B11	-27.879	-27.277	52.329	unknown	SEEG
B12	-31.335	-26.937	52.000	unknown	SEEG
B13	-34.686	-26.937	51.540	unknown	SEEG
B14	-38.298	-26.937	51.540	unknown	SEEG
B15	-41.771	-26.937	51.679	unknown	SEEG
B16	-45.437	-26.730	51.489	unknown	SEEG
C1	2.817	-44.426	45.381	unknown	SEEG
C2	-0.651	-45.391	45.418	unknown	SEEG
C3	-3.985	-45.938	45.557	unknown	SEEG
C4	-7.168	-46.702	46.000	unknown	SEEG
C5	-10.653	-47.578	46.253	unknown	SEEG
C6	-13.987	-48.672	46.531	unknown	SEEG
C7	-17.221	-49.322	47.000	unknown	SEEG
C8	-20.655	-50.312	47.366	unknown	SEEG
C9	-24.267	-50.859	47.366	unknown	SEEG
C10	-27.688	-52.081	48.000	unknown	SEEG
C11	-30.936	-53.047	48.340	unknown	SEEG
C12	-34.408	-53.842	48.479	unknown	SEEG
D1	1.560	-70.842	33.065	unknown	SEEG
D2	-1.770	-71.094	33.419	unknown	SEEG
D3	-5.105	-71.094	33.558	unknown	SEEG
D4	-8.578	-71.094	33.558	unknown	SEEG
D5	-12.042	-71.352	34.000	unknown	SEEG
D6	-15.738	-71.352	34.000	unknown	SEEG
D7	-19.413	-71.641	34.253	unknown	SEEG
D8	-22.747	-71.641	34.253	unknown	SEEG
D9	-26.498	-71.641	34.532	unknown	SEEG
D10	-30.046	-71.933	34.614	unknown	SEEG
E1	-27.747	-26.189	26.000	unknown	SEEG
E2	-31.187	-26.020	27.000	unknown	SEEG
E3	-34.566	-26.125	27.000	unknown	SEEG
E4	-37.945	-26.020	28.000	unknown	SEEG
E5	-41.429	-26.020	28.000	unknown	SEEG
E6	-45.020	-26.125	29.000	unknown	SEEG
E7	-48.610	-26.231	29.000	unknown	SEEG
E8	-52.041	-26.284	29.636	unknown	SEEG
F1	0.452	-61.262	17.559	unknown	SEEG
F2	-3.067	-60.395	18.000	unknown	SEEG
F3	-6.876	-59.702	19.000	unknown	SEEG
F4	-10.915	-58.777	19.000	unknown	SEEG
F5	-14.723	-58.084	20.000	unknown	SEEG
F6	-18.531	-57.390	20.000	unknown	SEEG
F7	-22.455	-56.697	21.000	unknown	SEEG
F8	-26.494	-56.119	21.000	unknown	SEEG
F9	-30.304	-55.263	22.000	unknown	SEEG
F10	-34.342	-54.724	22.000	unknown	SEEG
F11	-38.111	-54.050	22.000	unknown	SEEG
F12	-41.771	-53.244	23.000	unknown	SEEG
F13	-45.817	-52.569	23.000	unknown	SEEG
F14	-49.391	-51.941	23.606	unknown	SEEG
G1	-26.887	-38.349	11.314	unknown	SEEG
G2	-30.035	-38.345	13.000	unknown	SEEG
G3	-33.150	-38.345	14.000	unknown	SEEG
G4	-36.497	-37.998	16.000	unknown	SEEG
G5	-39.613	-38.114	17.000	unknown	SEEG
G6	-43.190	-37.767	19.000	unknown	SEEG
G7	-46.537	-37.651	20.000	unknown	SEEG
G8	-49.537	-37.420	21.000	unknown	SEEG
G9	-53.057	-37.247	23.000	unknown	SEEG
H1	-32.931	-11.605	9.000	unknown	SEEG
H2	-36.381	-12.236	10.000	unknown	SEEG
H3	-39.497	-12.699	11.000	unknown	SEEG
H4	-42.728	-13.277	12.000	unknown	SEEG
H5	-46.075	-13.739	13.000	unknown	SEEG
H6	-49.768	-14.201	14.000	unknown	SEEG
H7	-53.230	-14.548	15.000	unknown	SEEG
H8	-56.519	-15.068	16.558	unknown	SEEG
I1	-4.601	-50.691	-19.206	unknown	SEEG
I2	-7.058	-50.844	-17.000	unknown	SEEG
I3	-10.174	-51.422	-15.000	unknown	SEEG
I4	-13.174	-51.768	-13.000	unknown	SEEG
I5	-17.098	-52.230	-10.000	unknown	SEEG
I6	-19.983	-52.693	-8.000	unknown	SEEG
I7	-23.214	-53.039	-6.000	unknown	SEEG
I8	-26.445	-53.386	-3.000	unknown	SEEG
I9	-29.791	-53.964	-1.000	unknown	SEEG
I10	-33.023	-54.426	1.000	unknown	SEEG
I11	-36.369	-54.889	3.000	unknown	SEEG
I12	-39.139	-55.235	5.000	unknown	SEEG
I13	-42.947	-55.813	8.000	unknown	SEEG
I14	-46.294	-56.275	10.000	unknown	SEEG
I15	-49.569	-56.646	12.000	unknown	SEEG
J1	-28.464	-53.791	3.863	unknown	SEEG
J2	-32.031	-54.141	4.554	unknown	SEEG
J3	-35.331	-54.080	5.000	unknown	SEEG
J4	-39.023	-54.773	6.000	unknown	SEEG
J5	-42.615	-54.889	6.513	unknown	SEEG
J6	-45.721	-54.889	7.434	unknown	SEEG
J7	-48.883	-55.125	8.000	unknown	SEEG
K1	-19.042	-7.721	-0.455	unknown	SEEG
K2	-22.380	-7.294	0.000	unknown	SEEG
K3	-25.916	-7.109	0.641	unknown	SEEG
K4	-29.139	-6.562	0.821	unknown	SEEG
K5	-32.542	-6.562	1.179	unknown	SEEG
K6	-36.303	-6.027	1.538	unknown	SEEG
K7	-39.706	-6.027	2.255	unknown	SEEG
K8	-42.982	-5.846	3.000	unknown	SEEG
K9	-46.870	-5.469	3.511	unknown	SEEG
K10	-50.093	-5.469	4.408	unknown	SEEG
K11	-53.464	-5.484	5.000	unknown	SEEG
K12	-56.799	-4.982	5.531	unknown	SEEG
L1	-16.847	-20.517	-11.000	unknown	SEEG
L2	-19.845	-20.215	-10.000	unknown	SEEG
L3	-23.113	-19.724	-9.000	unknown	SEEG
L4	-26.453	-19.141	-8.326	unknown	SEEG
L5	-29.856	-18.594	-7.430	unknown	SEEG
L6	-33.258	-18.047	-6.533	unknown	SEEG
L7	-36.661	-17.500	-5.636	unknown	SEEG
L8	-40.109	-16.942	-5.000	unknown	SEEG
L9	-43.704	-16.615	-4.000	unknown	SEEG
L10	-46.809	-16.288	-3.000	unknown	SEEG
L11	-50.077	-15.797	-2.000	unknown	SEEG
L12	-53.509	-15.797	-1.000	unknown	SEEG
L13	-56.941	-15.469	0.000	unknown	SEEG
L14	-60.481	-15.378	1.000	unknown	SEEG
M1	-11.266	-26.025	-12.449	unknown	SEEG
M2	-14.829	-25.703	-12.449	unknown	SEEG
M3	-18.068	-25.156	-11.962	unknown	SEEG
M4	-21.639	-25.101	-12.000	unknown	SEEG
M5	-25.223	-24.883	-12.000	unknown	SEEG
M6	-28.756	-24.609	-11.476	unknown	SEEG
M7	-32.157	-24.609	-11.313	unknown	SEEG
M8	-35.433	-24.122	-11.000	unknown	SEEG
M9	-39.121	-24.062	-10.665	unknown	SEEG
M10	-42.522	-24.013	-10.503	unknown	SEEG
M11	-45.814	-23.627	-10.000	unknown	SEEG
M12	-49.324	-23.516	-9.530	unknown	SEEG
M13	-52.725	-23.516	-9.367	unknown	SEEG
M14	-56.126	-22.969	-8.556	unknown	SEEG
