name	x	y	z	size	type
A1	15.986	56.350	52.787	unknown	SEEG
A2	18.482	54.760	53.856	unknown	SEEG
A3	21.517	53.082	54.812	unknown	SEEG
A4	24.388	51.622	55.085	unknown	SEEG
A5	27.410	50.121	56.041	unknown	SEEG
A6	30.432	48.484	56.997	unknown	SEEG
A7	33.316	46.710	58.226	unknown	SEEG
A8	36.475	45.209	58.773	unknown	SEEG
A9	39.488	43.828	59.845	unknown	SEEG
B1	8.856	43.833	47.358	unknown	SEEG
B2	11.421	43.299	47.983	unknown	SEEG
B3	15.048	42.071	48.939	unknown	SEEG
B4	18.070	40.980	49.895	unknown	SEEG
B5	21.229	40.024	50.988	unknown	SEEG
B6	24.388	38.933	52.080	unknown	SEEG
B7	27.822	37.841	52.900	unknown	SEEG
B8	30.844	36.886	53.856	unknown	SEEG
B9	34.278	35.658	54.948	unknown	SEEG
B10	37.382	34.897	55.735	unknown	SEEG
C1	23.783	19.924	42.500	unknown	SEEG
C2	26.861	19.259	42.500	unknown	SEEG
C3	30.981	18.434	42.500	unknown	SEEG
C4	34.553	17.472	42.500	unknown	SEEG
C5	38.810	16.372	42.500	unknown	SEEG
C6	42.519	15.409	42.500	unknown	SEEG
C7	46.228	14.584	42.500	unknown	SEEG
C8	50.074	13.484	42.500	unknown	SEEG
C9	53.645	12.659	42.500	unknown	SEEG
C10	57.617	11.670	42.500	unknown	SEEG
D1	13.263	40.570	33.301	unknown	SEEG
D2	16.278	39.479	33.779	unknown	SEEG
D3	19.477	38.524	33.916	unknown	SEEG
D4	22.949	37.460	34.500	unknown	SEEG
D5	26.056	36.454	34.500	unknown	SEEG
D6	29.528	35.356	34.500	unknown	SEEG
D7	32.818	34.350	34.500	unknown	SEEG
D8	36.291	33.344	34.500	unknown	SEEG
D9	39.672	32.155	34.500	unknown	SEEG
D10	42.961	31.057	34.500	unknown	SEEG
D11	46.228	29.983	34.500	unknown	SEEG
D12	49.661	29.021	34.500	unknown	SEEG
D13	53.233	28.058	34.500	unknown	SEEG
D14	56.529	26.959	34.500	unknown	SEEG
D15	59.826	25.721	35.500	unknown	SEEG
D16	62.735	24.968	35.005	unknown	SEEG
E1	27.779	38.868	10.300	unknown	SEEG
E2	30.844	38.251	10.698	unknown	SEEG
E3	34.141	37.705	10.971	unknown	SEEG
E4	37.437	36.720	11.500	unknown	SEEG
E5	40.871	36.068	11.927	unknown	SEEG
E6	44.167	35.249	12.064	unknown	SEEG
E7	47.464	34.840	12.337	unknown	SEEG
E8	50.898	33.971	12.500	unknown	SEEG
E9	54.469	33.202	12.883	unknown	SEEG
E10	57.999	32.539	13.006	unknown	SEEG
F1	27.479	30.358	11.435	unknown	SEEG
F2	30.410	29.774	11.767	unknown	SEEG
F3	33.700	29.229	11.858	unknown	SEEG
F4	37.081	28.775	11.948	unknown	SEEG
F5	40.371	27.958	11.948	unknown	SEEG
F6	43.843	26.858	12.500	unknown	SEEG
F7	47.224	26.126	12.500	unknown	SEEG
F8	50.880	25.303	12.500	unknown	SEEG
F9	54.221	24.571	12.751	unknown	SEEG
F10	57.642	23.964	12.675	unknown	SEEG
F11	61.114	22.925	12.500	unknown	SEEG
F12	64.441	22.485	12.500	unknown	SEEG
G1	28.626	15.891	7.068	unknown	SEEG
G2	32.340	15.802	6.911	unknown	SEEG
G3	35.531	15.802	7.002	unknown	SEEG
G4	39.087	15.476	6.911	unknown	SEEG
G5	42.460	15.476	6.911	unknown	SEEG
G6	46.016	15.476	6.911	unknown	SEEG
G7	49.480	15.150	6.546	unknown	SEEG
G8	52.914	15.150	6.500	unknown	SEEG
G9	56.409	15.150	6.454	unknown	SEEG
G10	59.892	14.801	6.220	unknown	SEEG
H1	23.214	3.131	3.500	unknown	SEEG
H2	26.309	2.102	3.317	unknown	SEEG
H3	29.620	0.970	2.994	unknown	SEEG
H4	32.787	0.000	2.994	unknown	SEEG
H5	36.242	-1.132	2.994	unknown	SEEG
H6	39.553	-2.586	2.994	unknown	SEEG
H7	42.719	-3.718	2.994	unknown	SEEG
H8	46.030	-4.850	2.832	unknown	SEEG
H9	49.341	-6.305	2.994	unknown	SEEG
H10	52.508	-7.759	2.994	unknown	SEEG
H11	55.843	-9.122	2.500	unknown	SEEG
H12	58.755	-10.491	2.916	unknown	SEEG
I1	19.424	-11.541	-0.656	unknown	SEEG
I2	22.110	-12.824	-1.083	unknown	SEEG
I3	25.446	-13.704	-1.083	unknown	SEEG
I4	28.757	-14.986	-1.083	unknown	SEEG
I5	32.211	-16.156	-1.661	unknown	SEEG
I6	35.381	-17.003	-2.094	unknown	SEEG
I7	38.410	-18.300	-2.094	unknown	SEEG
I8	41.856	-19.308	-2.500	unknown	SEEG
I9	45.167	-20.605	-2.500	unknown	SEEG
I10	48.334	-21.614	-2.500	unknown	SEEG
I11	51.798	-23.069	-2.795	unknown	SEEG
