name	x	y	z	size	type
A1	13.164	41.209	2.508	unknown	SEEG
A2	16.176	42.656	1.692	unknown	SEEG
A3	19.072	44.297	0.374	unknown	SEEG
A4	22.232	45.391	-0.285	unknown	SEEG
A5	25.523	46.484	-1.471	unknown	SEEG
A6	28.682	48.125	-2.261	unknown	SEEG
A7	31.710	49.219	-3.184	unknown	SEEG
A8	34.737	50.312	-4.106	unknown	SEEG
A9	38.028	51.406	-5.160	unknown	SEEG
A10	41.188	53.047	-6.083	unknown	SEEG
A11	43.952	54.141	-7.137	unknown	SEEG
A12	47.375	55.234	-8.191	unknown	SEEG
A13	50.666	56.875	-9.245	unknown	SEEG
A14	53.562	57.969	-9.904	unknown	SEEG
A15	56.589	59.062	-10.958	unknown	SEEG
A16	59.551	60.229	-11.449	unknown	SEEG
B1	23.680	19.162	-25.584	unknown	SEEG
B2	26.707	18.902	-25.169	unknown	SEEG
B3	30.393	19.162	-24.530	unknown	SEEG
B4	33.553	19.428	-24.379	unknown	SEEG
B5	36.843	19.954	-23.608	unknown	SEEG
B6	40.135	19.692	-23.457	unknown	SEEG
B7	43.952	19.954	-22.686	unknown	SEEG
B8	47.111	20.218	-22.666	unknown	SEEG
B9	50.534	20.481	-22.534	unknown	SEEG
B10	53.825	20.615	-21.631	unknown	SEEG
B11	57.642	21.143	-21.500	unknown	SEEG
B12	61.061	21.143	-21.000	unknown	SEEG
B13	64.623	21.803	-20.333	unknown	SEEG
C1	31.710	4.853	-22.554	unknown	SEEG
C2	34.615	4.853	-22.594	unknown	SEEG
C3	38.177	4.853	-22.594	unknown	SEEG
C4	41.846	5.249	-22.422	unknown	SEEG
C5	45.137	5.249	-22.422	unknown	SEEG
C6	48.600	5.249	-22.000	unknown	SEEG
C7	52.163	5.513	-22.000	unknown	SEEG
C8	55.536	5.645	-21.631	unknown	SEEG
C9	58.696	5.645	-21.500	unknown	SEEG
C10	62.250	6.173	-21.631	unknown	SEEG
C11	66.199	6.173	-21.631	unknown	SEEG
C12	69.711	6.173	-21.000	unknown	SEEG
C13	72.950	6.294	-21.161	unknown	SEEG
D1	21.968	-12.977	-20.973	unknown	SEEG
D2	24.864	-12.977	-21.500	unknown	SEEG
D3	28.419	-13.373	-21.500	unknown	SEEG
D4	31.973	-13.373	-21.500	unknown	SEEG
D5	35.264	-13.770	-21.500	unknown	SEEG
D6	38.555	-13.770	-21.631	unknown	SEEG
D7	42.109	-13.770	-21.763	unknown	SEEG
D8	45.663	-14.298	-22.027	unknown	SEEG
D9	49.086	-14.298	-22.159	unknown	SEEG
D10	52.559	-14.298	-22.000	unknown	SEEG
D11	56.063	-14.694	-22.554	unknown	SEEG
D12	59.419	-15.090	-22.093	unknown	SEEG
E1	3.314	42.667	-4.802	unknown	SEEG
E2	0.857	43.226	-4.802	unknown	SEEG
E3	-2.717	43.913	-4.745	unknown	SEEG
E4	-6.317	44.516	-4.802	unknown	SEEG
E5	-9.575	44.904	-5.377	unknown	SEEG
E6	-12.866	45.127	-5.377	unknown	SEEG
E7	-16.157	45.574	-5.508	unknown	SEEG
E8	-19.974	46.133	-5.508	unknown	SEEG
E9	-23.494	46.133	-6.000	unknown	SEEG
E10	-27.068	46.414	-6.195	unknown	SEEG
E11	-30.374	46.693	-6.431	unknown	SEEG
E12	-34.191	47.290	-6.563	unknown	SEEG
E13	-37.482	47.290	-6.826	unknown	SEEG
E14	-40.754	47.599	-7.381	unknown	SEEG
E15	-44.326	47.942	-7.446	unknown	SEEG
F1	-12.792	-7.714	-20.038	unknown	SEEG
F2	-15.707	-8.138	-20.599	unknown	SEEG
F3	-19.381	-8.138	-21.000	unknown	SEEG
F4	-22.732	-8.138	-21.487	unknown	SEEG
F5	-26.026	-8.362	-21.598	unknown	SEEG
F6	-29.211	-8.362	-22.000	unknown	SEEG
F7	-33.016	-8.497	-22.422	unknown	SEEG
F8	-36.360	-8.474	-22.598	unknown	SEEG
F9	-39.674	-8.697	-22.931	unknown	SEEG
F10	-43.557	-8.697	-23.486	unknown	SEEG
F11	-46.971	-8.941	-23.533	unknown	SEEG
F12	-50.322	-9.033	-24.047	unknown	SEEG
G1	-13.144	8.046	-20.994	unknown	SEEG
G2	-16.151	7.733	-21.487	unknown	SEEG
G3	-19.479	7.481	-21.644	unknown	SEEG
G4	-23.252	7.370	-22.200	unknown	SEEG
G5	-26.470	7.109	-22.709	unknown	SEEG
G6	-30.020	7.148	-23.199	unknown	SEEG
G7	-33.127	7.109	-23.597	unknown	SEEG
G8	-36.678	6.562	-23.930	unknown	SEEG
G9	-40.229	6.562	-24.597	unknown	SEEG
G10	-43.447	6.371	-24.865	unknown	SEEG
G11	-47.330	6.016	-25.596	unknown	SEEG
G12	-50.548	6.016	-25.819	unknown	SEEG
H1	-10.714	19.585	-24.597	unknown	SEEG
H2	-13.931	19.585	-24.708	unknown	SEEG
H3	-17.637	19.474	-25.000	unknown	SEEG
H4	-21.033	19.250	-25.485	unknown	SEEG
H5	-24.362	19.250	-25.596	unknown	SEEG
H6	-28.134	19.250	-25.596	unknown	SEEG
H7	-31.463	18.691	-25.596	unknown	SEEG
H8	-34.951	18.803	-26.000	unknown	SEEG
H9	-38.675	18.691	-26.596	unknown	SEEG
H10	-42.337	18.244	-26.596	unknown	SEEG
H11	-45.786	18.244	-27.000	unknown	SEEG
H12	-49.361	18.244	-27.476	unknown	SEEG
