name	x	y	z	size	type
A1	18.655	-23.417	-5.500	unknown	SEEG
A2	21.517	-25.443	-3.977	unknown	SEEG
A3	24.278	-27.144	-2.500	unknown	SEEG
A4	26.721	-28.739	-1.500	unknown	SEEG
A5	29.588	-30.408	-0.159	unknown	SEEG
A6	32.668	-31.891	1.538	unknown	SEEG
A7	35.514	-33.628	2.879	unknown	SEEG
A8	38.023	-35.329	4.239	unknown	SEEG
A9	40.951	-36.924	5.500	unknown	SEEG
A10	44.031	-38.672	6.947	unknown	SEEG
A11	46.328	-40.219	8.104	unknown	SEEG
A12	49.219	-41.695	9.725	unknown	SEEG
A13	52.013	-43.412	10.973	unknown	SEEG
B1	25.587	5.204	-2.064	unknown	SEEG
B2	28.636	4.392	-1.040	unknown	SEEG
B3	32.105	4.029	-0.173	unknown	SEEG
B4	35.574	3.569	1.095	unknown	SEEG
B5	39.031	3.000	1.970	unknown	SEEG
B6	42.281	2.648	2.939	unknown	SEEG
B7	45.403	2.187	3.976	unknown	SEEG
B8	48.756	1.727	5.013	unknown	SEEG
B9	52.244	1.382	6.050	unknown	SEEG
B10	55.578	1.036	6.484	unknown	SEEG
B11	58.469	0.679	7.410	unknown	SEEG
B12	61.977	0.434	8.800	unknown	SEEG
C1	21.409	-4.558	0.760	unknown	SEEG
C2	24.312	-4.657	0.760	unknown	SEEG
C3	27.789	-5.181	-0.058	unknown	SEEG
C4	31.180	-5.641	0.002	unknown	SEEG
C5	34.975	-6.050	-0.500	unknown	SEEG
C6	38.452	-6.398	-0.500	unknown	SEEG
C7	41.934	-6.746	-1.040	unknown	SEEG
C8	45.406	-7.138	-1.095	unknown	SEEG
C9	48.651	-7.442	-1.500	unknown	SEEG
C10	52.244	-8.138	-1.500	unknown	SEEG
C11	55.721	-8.519	-1.901	unknown	SEEG
C12	59.161	-8.900	-2.064	unknown	SEEG
D1	21.626	15.178	6.410	unknown	SEEG
D2	24.776	14.949	6.500	unknown	SEEG
D3	28.369	14.485	6.500	unknown	SEEG
D4	31.498	14.137	6.500	unknown	SEEG
D5	35.206	13.789	6.500	unknown	SEEG
D6	38.683	13.325	6.500	unknown	SEEG
D7	42.044	13.093	6.500	unknown	SEEG
D8	45.406	12.745	6.500	unknown	SEEG
D9	49.114	12.397	6.500	unknown	SEEG
D10	52.823	11.973	6.281	unknown	SEEG
D11	56.041	11.701	6.137	unknown	SEEG
D12	59.378	11.504	5.975	unknown	SEEG
E1	35.769	-0.911	29.813	unknown	SEEG
E2	39.181	-0.829	29.165	unknown	SEEG
E3	42.270	-1.196	28.965	unknown	SEEG
E4	45.864	-1.395	28.500	unknown	SEEG
E5	49.047	-1.895	28.067	unknown	SEEG
E6	52.734	-2.195	27.668	unknown	SEEG
E7	56.353	-2.595	27.500	unknown	SEEG
E8	59.798	-3.097	26.896	unknown	SEEG
F1	37.041	-14.573	28.901	unknown	SEEG
F2	39.780	-15.121	28.901	unknown	SEEG
F3	43.067	-16.061	28.901	unknown	SEEG
F4	46.511	-16.923	28.901	unknown	SEEG
