name	x	y	z	size	type
A1	13.910	15.289	-7.486	unknown	SEEG
A2	17.402	15.312	-6.434	unknown	SEEG
A3	20.358	15.750	-5.633	unknown	SEEG
A4	23.771	15.830	-5.000	unknown	SEEG
A5	27.427	16.065	-4.404	unknown	SEEG
A6	30.845	16.065	-3.644	unknown	SEEG
A7	34.478	15.949	-3.000	unknown	SEEG
A8	37.746	16.065	-2.440	unknown	SEEG
A9	41.291	16.065	-1.616	unknown	SEEG
A10	44.737	16.065	-1.000	unknown	SEEG
A11	48.571	16.298	-0.349	unknown	SEEG
A12	51.736	16.298	0.349	unknown	SEEG
B1	2.481	-4.545	-2.521	unknown	SEEG
B2	5.529	-4.667	-2.521	unknown	SEEG
B3	9.064	-4.545	-2.427	unknown	SEEG
B4	12.546	-4.545	-2.366	unknown	SEEG
B5	16.212	-4.812	-2.488	unknown	SEEG
B6	19.633	-4.812	-2.427	unknown	SEEG
B7	23.116	-4.812	-2.121	unknown	SEEG
B8	26.659	-5.250	-1.999	unknown	SEEG
B9	30.203	-5.250	-1.999	unknown	SEEG
B10	33.685	-5.250	-1.632	unknown	SEEG
B11	36.923	-5.688	-1.632	unknown	SEEG
B12	40.711	-5.688	-1.571	unknown	SEEG
B13	44.248	-5.688	-1.465	unknown	SEEG
B14	48.064	-6.005	-1.382	unknown	SEEG
C1	28.738	-11.071	4.000	unknown	SEEG
C2	28.438	-7.693	5.062	unknown	SEEG
C3	28.438	-3.843	5.691	unknown	SEEG
C4	28.438	0.006	6.634	unknown	SEEG
C5	28.000	4.091	7.499	unknown	SEEG
C6	27.562	7.862	8.522	unknown	SEEG
C7	27.125	11.632	9.387	unknown	SEEG
C8	26.688	15.246	10.488	unknown	SEEG
C9	26.250	19.259	11.513	unknown	SEEG
C10	25.375	22.936	12.536	unknown	SEEG
C11	24.500	26.973	13.645	unknown	SEEG
C12	24.062	30.702	14.640	unknown	SEEG
C13	23.625	34.756	15.642	unknown	SEEG
C14	23.188	38.517	16.479	unknown	SEEG
C15	22.750	42.352	17.610	unknown	SEEG
C16	22.058	46.292	18.901	unknown	SEEG
D1	-4.749	53.160	6.799	unknown	SEEG
D2	-1.629	52.938	7.337	unknown	SEEG
D3	1.720	52.938	7.493	unknown	SEEG
D4	5.224	52.500	7.571	unknown	SEEG
D5	8.884	52.062	7.727	unknown	SEEG
D6	12.732	51.960	8.000	unknown	SEEG
D7	16.127	51.608	8.117	unknown	SEEG
D8	19.320	51.608	8.507	unknown	SEEG
D9	22.949	51.373	8.507	unknown	SEEG
D10	26.461	51.139	8.507	unknown	SEEG
D11	29.974	50.904	8.507	unknown	SEEG
D12	33.564	50.514	8.507	unknown	SEEG
D13	37.037	50.575	9.000	unknown	SEEG
E1	31.174	14.029	10.376	unknown	SEEG
E2	33.465	12.894	10.695	unknown	SEEG
E3	36.320	10.836	11.476	unknown	SEEG
E4	39.368	9.301	12.527	unknown	SEEG
E5	42.065	7.608	13.379	unknown	SEEG
E6	45.186	5.844	14.515	unknown	SEEG
E7	48.374	3.868	15.000	unknown	SEEG
E8	51.087	1.983	15.616	unknown	SEEG
F1	-8.454	-35.596	17.470	unknown	SEEG
F2	-5.935	-36.376	18.713	unknown	SEEG
F3	-2.526	-37.455	20.000	unknown	SEEG
F4	0.688	-38.388	21.766	unknown	SEEG
F5	3.402	-39.099	23.000	unknown	SEEG
F6	6.616	-40.043	24.561	unknown	SEEG
F7	9.402	-41.029	26.000	unknown	SEEG
F8	12.759	-42.008	27.667	unknown	SEEG
F9	15.544	-42.888	29.000	unknown	SEEG
F10	18.610	-43.870	30.359	unknown	SEEG
F11	21.693	-44.882	31.601	unknown	SEEG
F12	24.802	-45.820	33.000	unknown	SEEG
G1	18.833	-18.061	21.142	unknown	SEEG
G2	19.519	-14.452	22.000	unknown	SEEG
G3	19.449	-10.418	23.000	unknown	SEEG
G4	19.311	-6.694	23.831	unknown	SEEG
G5	19.311	-2.671	24.613	unknown	SEEG
G6	19.311	1.211	25.385	unknown	SEEG
G7	19.489	5.100	26.000	unknown	SEEG
G8	19.311	9.072	26.608	unknown	SEEG
G9	19.311	13.024	27.432	unknown	SEEG
G10	19.311	16.838	27.892	unknown	SEEG
G11	19.688	20.783	28.393	unknown	SEEG
G12	19.688	24.538	28.643	unknown	SEEG
G13	19.688	28.543	29.311	unknown	SEEG
G14	20.014	32.731	30.000	unknown	SEEG
G15	20.242	36.600	31.000	unknown	SEEG
G16	20.258	40.360	31.456	unknown	SEEG
H1	14.725	-14.799	24.342	unknown	SEEG
H2	17.296	-15.783	24.166	unknown	SEEG
H3	20.561	-17.187	23.956	unknown	SEEG
H4	23.688	-18.943	23.534	unknown	SEEG
H5	26.953	-20.559	23.674	unknown	SEEG
H6	30.149	-22.034	24.237	unknown	SEEG
H7	33.206	-23.423	25.000	unknown	SEEG
H8	36.360	-24.992	25.252	unknown	SEEG
I1	21.202	15.830	23.633	unknown	SEEG
I2	24.259	14.974	24.450	unknown	SEEG
I3	27.664	14.061	25.434	unknown	SEEG
I4	30.582	13.188	26.000	unknown	SEEG
I5	33.847	12.375	26.418	unknown	SEEG
I6	37.113	11.392	27.402	unknown	SEEG
I7	40.448	10.479	28.527	unknown	SEEG
I8	43.414	9.456	29.603	unknown	SEEG
J1	-6.260	32.462	28.000	unknown	SEEG
J2	-3.547	32.849	28.472	unknown	SEEG
J3	-0.075	32.849	28.757	unknown	SEEG
J4	3.495	33.159	29.000	unknown	SEEG
J5	7.288	33.656	29.371	unknown	SEEG
J6	10.378	33.702	29.745	unknown	SEEG
J7	13.914	33.934	30.231	unknown	SEEG
J8	17.449	34.286	30.578	unknown	SEEG
J9	20.983	34.286	31.000	unknown	SEEG
J10	24.311	34.562	31.341	unknown	SEEG
J11	27.847	34.562	31.549	unknown	SEEG
J12	31.555	34.978	32.000	unknown	SEEG
J13	35.056	35.396	32.243	unknown	SEEG
J14	38.314	35.396	32.659	unknown	SEEG
J15	42.031	35.387	32.600	unknown	SEEG
K1	-12.482	-15.445	32.909	unknown	SEEG
K2	-9.263	-15.863	34.271	unknown	SEEG
K3	-6.308	-15.863	35.456	unknown	SEEG
K4	-2.721	-15.863	37.000	unknown	SEEG
K5	0.257	-16.132	38.549	unknown	SEEG
K6	3.323	-16.686	39.471	unknown	SEEG
K7	6.680	-17.074	40.558	unknown	SEEG
K8	10.067	-17.745	41.487	unknown	SEEG
K9	13.530	-18.393	42.422	unknown	SEEG
K10	17.021	-19.014	43.432	unknown	SEEG
K11	20.379	-19.557	44.519	unknown	SEEG
K12	23.511	-20.178	45.000	unknown	SEEG
