name	x	y	z	size	type
A1	20.074	-25.203	31.912	unknown	SEEG
A2	20.382	-25.758	35.500	unknown	SEEG
A3	20.758	-26.128	39.221	unknown	SEEG
A4	21.372	-26.498	42.664	unknown	SEEG
A5	21.740	-26.992	46.352	unknown	SEEG
A6	22.476	-27.362	49.500	unknown	SEEG
A7	22.968	-27.732	52.869	unknown	SEEG
A8	23.461	-27.978	56.500	unknown	SEEG
B1	25.315	-2.289	40.500	unknown	SEEG
B2	26.859	-4.812	43.500	unknown	SEEG
B3	28.159	-6.603	45.500	unknown	SEEG
B4	29.785	-9.207	48.500	unknown	SEEG
B5	31.085	-10.834	50.500	unknown	SEEG
B6	32.676	-13.276	52.811	unknown	SEEG
B7	34.335	-15.229	55.500	unknown	SEEG
B8	35.430	-16.891	57.354	unknown	SEEG
C1	24.664	-25.716	25.462	unknown	SEEG
C2	25.455	-27.957	28.500	unknown	SEEG
C3	25.942	-29.910	31.500	unknown	SEEG
C4	26.430	-31.701	33.500	unknown	SEEG
C5	26.918	-33.817	36.500	unknown	SEEG
C6	27.653	-35.932	39.831	unknown	SEEG
C7	28.543	-37.927	42.948	unknown	SEEG
C8	28.998	-39.944	45.482	unknown	SEEG
D1	24.839	-36.846	23.736	unknown	SEEG
D2	26.593	-37.560	26.500	unknown	SEEG
D3	28.543	-38.699	29.500	unknown	SEEG
D4	30.493	-39.513	32.500	unknown	SEEG
D5	32.190	-40.653	35.288	unknown	SEEG
D6	33.906	-41.466	37.500	unknown	SEEG
D7	35.913	-42.275	40.291	unknown	SEEG
E1	29.178	-26.635	35.199	unknown	SEEG
E2	32.352	-27.234	35.774	unknown	SEEG
E3	35.754	-28.693	36.099	unknown	SEEG
E4	39.107	-29.615	36.419	unknown	SEEG
E5	42.559	-30.430	37.072	unknown	SEEG
E6	45.799	-31.163	37.072	unknown	SEEG
F1	7.949	-26.601	-8.500	unknown	SEEG
F2	9.695	-28.446	-5.609	unknown	SEEG
F3	11.477	-29.585	-3.175	unknown	SEEG
F4	13.266	-31.538	-0.500	unknown	SEEG
F5	15.101	-33.003	1.758	unknown	SEEG
F6	16.516	-34.793	4.500	unknown	SEEG
F7	18.141	-36.584	6.500	unknown	SEEG
F8	20.092	-38.537	9.500	unknown	SEEG
F9	21.717	-40.164	11.500	unknown	SEEG
F10	23.180	-41.955	13.500	unknown	SEEG
F11	25.292	-44.233	16.500	unknown	SEEG
F12	26.755	-46.024	18.500	unknown	SEEG
F13	28.543	-47.977	20.500	unknown	SEEG
F14	30.493	-50.093	23.500	unknown	SEEG
F15	31.956	-51.720	25.500	unknown	SEEG
F16	33.708	-53.514	28.173	unknown	SEEG
G1	15.135	-42.850	-11.480	unknown	SEEG
G2	18.141	-42.117	-8.500	unknown	SEEG
G3	20.579	-41.466	-6.500	unknown	SEEG
G4	23.007	-40.852	-4.543	unknown	SEEG
G5	25.617	-40.327	-2.500	unknown	SEEG
G6	28.191	-39.879	-0.325	unknown	SEEG
G7	30.946	-38.906	2.272	unknown	SEEG
G8	33.538	-38.420	4.381	unknown	SEEG
G9	36.130	-37.934	6.490	unknown	SEEG
G10	39.047	-37.447	9.086	unknown	SEEG
G11	41.707	-36.746	11.500	unknown	SEEG
G12	44.409	-36.025	13.712	unknown	SEEG
