name	x	y	z	size	type
A1	10.542	-11.298	-9.207	unknown	SEEG
A2	13.948	-11.829	-8.882	unknown	SEEG
A3	17.219	-12.260	-8.450	unknown	SEEG
A4	20.662	-12.778	-8.019	unknown	SEEG
A5	24.024	-13.123	-7.750	unknown	SEEG
A6	27.640	-13.554	-7.750	unknown	SEEG
A7	30.866	-14.244	-7.319	unknown	SEEG
A8	34.309	-14.502	-7.060	unknown	SEEG
A9	37.573	-15.087	-7.060	unknown	SEEG
A10	41.016	-15.259	-7.060	unknown	SEEG
A11	44.381	-16.121	-6.888	unknown	SEEG
A12	47.983	-16.471	-6.500	unknown	SEEG
B1	14.085	4.183	-3.888	unknown	SEEG
B2	17.524	3.838	-3.697	unknown	SEEG
B3	20.881	3.493	-3.093	unknown	SEEG
B4	24.123	2.900	-2.500	unknown	SEEG
B5	28.026	2.296	-1.886	unknown	SEEG
B6	31.440	2.038	-1.886	unknown	SEEG
B7	34.826	1.693	-1.455	unknown	SEEG
B8	38.355	1.089	-0.938	unknown	SEEG
B9	41.942	0.775	-0.604	unknown	SEEG
B10	45.034	0.227	-0.014	unknown	SEEG
B11	48.563	-0.377	0.245	unknown	SEEG
B12	51.662	-0.722	0.849	unknown	SEEG
B13	55.456	-1.153	1.021	unknown	SEEG
B14	58.988	-1.536	1.500	unknown	SEEG
C1	30.538	-10.973	-1.069	unknown	SEEG
C2	33.838	-11.117	-0.776	unknown	SEEG
C3	37.287	-11.548	-0.445	unknown	SEEG
C4	41.074	-12.066	0.159	unknown	SEEG
C5	44.426	-12.324	0.159	unknown	SEEG
C6	48.047	-12.669	1.107	unknown	SEEG
C7	51.313	-13.100	1.107	unknown	SEEG
C8	54.822	-13.607	1.500	unknown	SEEG
D1	9.300	-29.765	-6.500	unknown	SEEG
D2	11.539	-31.831	-4.775	unknown	SEEG
D3	13.518	-33.466	-3.827	unknown	SEEG
D4	16.187	-35.790	-1.844	unknown	SEEG
D5	18.597	-37.590	-0.799	unknown	SEEG
D6	20.947	-39.624	0.780	unknown	SEEG
D7	23.441	-41.776	2.332	unknown	SEEG
D8	25.851	-43.788	3.500	unknown	SEEG
D9	28.261	-45.857	5.500	unknown	SEEG
D10	30.701	-47.927	7.081	unknown	SEEG
D11	33.231	-50.263	8.500	unknown	SEEG
E1	15.118	18.749	3.944	unknown	SEEG
E2	18.564	18.749	4.321	unknown	SEEG
E3	21.921	18.404	4.666	unknown	SEEG
E4	25.365	18.404	5.011	unknown	SEEG
E5	29.066	18.232	5.356	unknown	SEEG
E6	32.337	18.232	6.132	unknown	SEEG
E7	36.125	18.319	6.445	unknown	SEEG
E8	39.310	18.152	6.908	unknown	SEEG
E9	42.813	17.894	7.081	unknown	SEEG
E10	46.110	17.980	7.598	unknown	SEEG
E11	49.607	17.980	8.016	unknown	SEEG
E12	52.964	17.883	8.188	unknown	SEEG
E13	56.408	17.796	8.792	unknown	SEEG
E14	60.109	17.656	9.500	unknown	SEEG
F1	12.680	24.809	6.963	unknown	SEEG
F2	15.865	25.843	7.222	unknown	SEEG
F3	19.222	26.447	7.222	unknown	SEEG
F4	22.665	27.395	7.826	unknown	SEEG
F5	26.022	28.073	7.998	unknown	SEEG
F6	29.355	29.079	8.255	unknown	SEEG
F7	32.885	29.884	8.255	unknown	SEEG
F8	36.392	30.476	8.673	unknown	SEEG
F9	39.749	31.252	9.018	unknown	SEEG
F10	43.099	32.114	9.018	unknown	SEEG
F11	46.370	32.890	9.018	unknown	SEEG
F12	50.165	33.408	9.018	unknown	SEEG
F13	53.601	34.356	9.018	unknown	SEEG
F14	57.098	35.085	9.500	unknown	SEEG
G1	16.236	-40.554	20.949	unknown	SEEG
G2	19.507	-40.727	21.501	unknown	SEEG
G3	23.122	-41.072	21.501	unknown	SEEG
G4	26.591	-41.675	21.932	unknown	SEEG
G5	30.009	-42.279	21.932	unknown	SEEG
G6	33.219	-43.055	22.363	unknown	SEEG
G7	36.790	-43.090	22.500	unknown	SEEG
H1	22.077	-9.835	27.012	unknown	SEEG
H2	25.520	-10.008	27.012	unknown	SEEG
H3	28.705	-10.439	27.012	unknown	SEEG
H4	32.358	-10.611	27.192	unknown	SEEG
H5	35.849	-11.129	27.192	unknown	SEEG
H6	38.948	-11.301	27.192	unknown	SEEG
H7	42.650	-11.819	27.192	unknown	SEEG
H8	45.873	-12.075	27.192	unknown	SEEG
H9	49.586	-12.334	27.192	unknown	SEEG
H10	53.236	-12.683	27.012	unknown	SEEG
I1	-2.753	25.451	37.741	unknown	SEEG
I2	-0.084	25.968	38.500	unknown	SEEG
I3	3.359	26.828	40.156	unknown	SEEG
I4	6.630	27.775	41.018	unknown	SEEG
I5	9.815	28.296	41.535	unknown	SEEG
I6	12.966	29.331	42.805	unknown	SEEG
I7	15.906	30.002	43.495	unknown	SEEG
I8	19.250	30.606	44.702	unknown	SEEG
I9	22.878	31.382	45.500	unknown	SEEG
I10	25.891	32.158	46.500	unknown	SEEG
I11	28.990	33.263	47.887	unknown	SEEG
I12	32.003	34.124	48.577	unknown	SEEG
I13	35.312	34.898	50.129	unknown	SEEG
I14	38.418	35.592	50.792	unknown	SEEG
