name	x	y	z	size	type
A1	3.027	-1.859	42.530	unknown	SEEG
A2	6.148	-1.094	43.369	unknown	SEEG
A3	10.259	-0.547	44.283	unknown	SEEG
A4	14.066	0.000	44.588	unknown	SEEG
A5	17.263	1.094	45.502	unknown	SEEG
A6	21.222	1.641	46.417	unknown	SEEG
A7	25.333	2.188	47.331	unknown	SEEG
A8	29.291	2.734	47.941	unknown	SEEG
A9	33.098	3.281	48.550	unknown	SEEG
A10	37.057	4.375	49.465	unknown	SEEG
A11	40.559	4.922	50.532	unknown	SEEG
A12	44.670	5.469	51.599	unknown	SEEG
A13	48.628	6.016	52.361	unknown	SEEG
A14	52.254	6.589	53.426	unknown	SEEG
B1	23.465	-7.678	-7.000	unknown	SEEG
B2	26.515	-7.678	-6.021	unknown	SEEG
B3	30.198	-7.678	-4.869	unknown	SEEG
B4	33.191	-7.678	-4.062	unknown	SEEG
B5	36.873	-7.678	-3.371	unknown	SEEG
B6	40.441	-7.109	-2.680	unknown	SEEG
B7	43.779	-6.917	-2.267	unknown	SEEG
B8	47.462	-6.562	-1.643	unknown	SEEG
B9	50.570	-6.016	-1.528	unknown	SEEG
B10	54.368	-6.016	-1.067	unknown	SEEG
B11	57.706	-5.469	-0.375	unknown	SEEG
B12	61.389	-5.469	-0.375	unknown	SEEG
B13	64.727	-4.922	-0.030	unknown	SEEG
B14	68.083	-5.181	0.597	unknown	SEEG
C1	-8.164	-23.211	-12.553	unknown	SEEG
C2	-11.373	-24.062	-13.523	unknown	SEEG
C3	-14.825	-24.609	-14.445	unknown	SEEG
C4	-18.048	-25.156	-15.251	unknown	SEEG
C5	-21.501	-25.598	-16.288	unknown	SEEG
C6	-24.954	-26.174	-16.979	unknown	SEEG
C7	-28.177	-26.519	-17.786	unknown	SEEG
C8	-31.745	-26.797	-18.938	unknown	SEEG
C9	-35.197	-27.325	-19.860	unknown	SEEG
C10	-38.535	-28.131	-20.666	unknown	SEEG
C11	-41.988	-28.984	-22.049	unknown	SEEG
C12	-45.441	-29.397	-23.085	unknown	SEEG
C13	-49.121	-30.006	-24.000	unknown	SEEG
D1	-35.866	-41.078	-14.468	unknown	SEEG
D2	-36.505	-38.559	-12.532	unknown	SEEG
D3	-36.505	-35.413	-10.564	unknown	SEEG
D4	-36.824	-32.124	-8.000	unknown	SEEG
D5	-37.144	-29.122	-5.447	unknown	SEEG
D6	-37.676	-25.977	-3.184	unknown	SEEG
D7	-37.676	-23.276	-1.000	unknown	SEEG
D8	-37.887	-19.578	2.000	unknown	SEEG
D9	-38.014	-16.737	4.097	unknown	SEEG
D10	-38.558	-13.591	6.754	unknown	SEEG
D11	-38.558	-10.239	9.000	unknown	SEEG
D12	-38.755	-7.202	11.575	unknown	SEEG
D13	-39.050	-4.026	14.000	unknown	SEEG
D14	-39.543	-1.205	16.003	unknown	SEEG
D15	-39.543	1.940	18.463	unknown	SEEG
D16	-39.778	5.256	21.212	unknown	SEEG
E1	-12.581	-8.104	-13.000	unknown	SEEG
E2	-15.438	-8.498	-13.000	unknown	SEEG
E3	-18.854	-8.991	-13.523	unknown	SEEG
E4	-22.192	-9.485	-13.523	unknown	SEEG
E5	-25.783	-10.076	-14.000	unknown	SEEG
E6	-29.443	-10.668	-14.560	unknown	SEEG
E7	-33.126	-11.260	-14.445	unknown	SEEG
E8	-36.809	-11.654	-14.560	unknown	SEEG
E9	-40.365	-12.132	-15.251	unknown	SEEG
E10	-44.060	-12.592	-15.597	unknown	SEEG
E11	-47.513	-12.936	-15.712	unknown	SEEG
E12	-51.089	-13.392	-16.000	unknown	SEEG
E13	-54.557	-14.017	-16.643	unknown	SEEG
F1	-24.564	-8.323	13.162	unknown	SEEG
F2	-27.557	-8.773	12.490	unknown	SEEG
F3	-31.108	-9.607	11.563	unknown	SEEG
F4	-34.799	-10.359	10.478	unknown	SEEG
F5	-38.177	-10.465	9.755	unknown	SEEG
F6	-41.651	-11.206	9.419	unknown	SEEG
F7	-45.190	-11.837	8.479	unknown	SEEG
F8	-48.431	-12.263	8.000	unknown	SEEG
F9	-52.096	-12.793	7.407	unknown	SEEG
F10	-55.603	-13.125	6.458	unknown	SEEG
F11	-58.967	-13.476	5.548	unknown	SEEG
G1	-4.486	-0.986	36.000	unknown	SEEG
G2	-7.316	-1.309	36.000	unknown	SEEG
G3	-10.677	-2.349	35.628	unknown	SEEG
G4	-13.855	-3.092	35.562	unknown	SEEG
G5	-17.558	-3.983	35.000	unknown	SEEG
G6	-21.186	-4.726	34.605	unknown	SEEG
G7	-24.374	-5.320	34.605	unknown	SEEG
G8	-28.199	-6.360	33.967	unknown	SEEG
G9	-31.493	-7.252	33.648	unknown	SEEG
G10	-34.681	-7.846	33.542	unknown	SEEG
G11	-38.612	-8.738	32.904	unknown	SEEG
G12	-41.800	-9.480	32.478	unknown	SEEG
G13	-45.094	-10.164	32.584	unknown	SEEG
G14	-48.332	-11.198	32.000	unknown	SEEG
G15	-51.950	-11.841	31.551	unknown	SEEG
G16	-55.302	-12.815	31.000	unknown	SEEG
H1	-28.515	-1.179	8.557	unknown	SEEG
H2	-31.294	-1.641	8.523	unknown	SEEG
H3	-34.580	-1.977	8.128	unknown	SEEG
H4	-38.464	-2.188	7.626	unknown	SEEG
H5	-41.751	-2.734	7.477	unknown	SEEG
H6	-45.610	-2.943	7.028	unknown	SEEG
H7	-49.071	-3.458	6.793	unknown	SEEG
H8	-52.586	-4.199	6.497	unknown	SEEG
H9	-56.092	-4.375	5.981	unknown	SEEG
H10	-59.976	-4.535	5.682	unknown	SEEG
I1	-34.671	11.108	11.000	unknown	SEEG
I2	-37.867	10.391	10.019	unknown	SEEG
I3	-41.303	9.844	9.570	unknown	SEEG
I4	-44.739	9.297	8.972	unknown	SEEG
I5	-48.324	8.750	8.523	unknown	SEEG
I6	-51.610	8.203	7.925	unknown	SEEG
I7	-55.196	8.203	7.477	unknown	SEEG
I8	-58.841	7.684	7.000	unknown	SEEG
J1	-7.335	16.137	37.574	unknown	SEEG
J2	-10.582	15.629	37.000	unknown	SEEG
J3	-13.995	15.497	36.440	unknown	SEEG
J4	-17.261	15.034	36.000	unknown	SEEG
J5	-20.986	14.766	35.440	unknown	SEEG
J6	-24.385	14.143	35.000	unknown	SEEG
J7	-28.007	13.672	34.393	unknown	SEEG
J8	-31.443	13.672	33.944	unknown	SEEG
J9	-35.178	13.672	33.496	unknown	SEEG
J10	-38.486	13.103	33.000	unknown	SEEG
J11	-42.348	12.578	32.598	unknown	SEEG
J12	-45.784	12.578	32.449	unknown	SEEG
J13	-49.370	12.211	31.552	unknown	SEEG
J14	-52.806	11.766	31.402	unknown	SEEG
J15	-56.092	11.766	30.954	unknown	SEEG
J16	-59.771	11.206	30.596	unknown	SEEG
K1	-4.959	25.480	21.554	unknown	SEEG
K2	-8.091	25.156	21.309	unknown	SEEG
K3	-11.676	24.609	20.561	unknown	SEEG
K4	-15.261	24.062	20.262	unknown	SEEG
K5	-18.597	23.503	19.514	unknown	SEEG
K6	-21.984	23.516	19.514	unknown	SEEG
K7	-25.420	22.969	18.617	unknown	SEEG
K8	-29.283	22.760	18.168	unknown	SEEG
K9	-32.590	22.422	17.570	unknown	SEEG
K10	-35.877	21.875	17.122	unknown	SEEG
K11	-39.462	21.875	16.374	unknown	SEEG
K12	-42.898	21.328	16.075	unknown	SEEG
K13	-46.184	21.328	15.477	unknown	SEEG
K14	-49.770	20.781	14.729	unknown	SEEG
K15	-53.328	20.532	14.131	unknown	SEEG
