name	x	y	z	size	type
A1	40.357	-6.314	21.904	unknown	SEEG
A2	44.085	-5.680	21.480	unknown	SEEG
A3	47.547	-5.247	20.951	unknown	SEEG
A4	51.169	-4.717	20.951	unknown	SEEG
A5	54.447	-4.188	20.951	unknown	SEEG
A6	57.513	-3.764	20.951	unknown	SEEG
A7	61.108	-3.235	20.951	unknown	SEEG
A8	64.930	-2.841	20.500	unknown	SEEG
B1	16.877	-35.939	39.500	unknown	SEEG
B2	20.155	-36.256	38.140	unknown	SEEG
B3	23.827	-36.256	37.398	unknown	SEEG
B4	27.239	-36.574	36.445	unknown	SEEG
B5	30.488	-36.574	35.809	unknown	SEEG
B6	34.294	-36.574	34.750	unknown	SEEG
B7	37.460	-37.110	34.327	unknown	SEEG
B8	41.061	-37.110	33.585	unknown	SEEG
B9	44.550	-37.428	32.950	unknown	SEEG
B10	47.822	-37.428	32.950	unknown	SEEG
B11	51.740	-37.852	32.208	unknown	SEEG
B12	55.646	-37.958	31.679	unknown	SEEG
B13	58.401	-38.381	31.149	unknown	SEEG
B14	62.048	-38.572	30.907	unknown	SEEG
C1	26.307	1.373	31.500	unknown	SEEG
C2	28.162	0.844	33.691	unknown	SEEG
C3	30.911	0.844	37.610	unknown	SEEG
C4	33.766	0.522	40.668	unknown	SEEG
C5	35.447	0.522	42.150	unknown	SEEG
C6	37.879	0.522	45.299	unknown	SEEG
C7	40.099	0.000	48.052	unknown	SEEG
C8	42.531	0.000	51.336	unknown	SEEG
C9	44.527	-0.525	53.639	unknown	SEEG
C10	47.064	-1.051	56.817	unknown	SEEG
C11	49.179	-1.281	59.371	unknown	SEEG
C12	51.160	-1.562	61.500	unknown	SEEG
D1	26.851	-0.357	30.500	unknown	SEEG
D2	29.475	-0.357	33.222	unknown	SEEG
D3	32.541	-0.674	35.372	unknown	SEEG
D4	35.502	-0.780	37.385	unknown	SEEG
D5	38.149	-1.169	38.830	unknown	SEEG
D6	41.190	-1.004	40.535	unknown	SEEG
D7	44.362	-1.004	42.749	unknown	SEEG
D8	47.136	-1.699	44.761	unknown	SEEG
D9	50.495	-1.699	46.774	unknown	SEEG
D10	53.138	-1.699	48.680	unknown	SEEG
D11	56.123	-1.805	50.798	unknown	SEEG
D12	59.377	-2.435	52.500	unknown	SEEG
E1	9.131	-42.520	32.951	unknown	SEEG
E2	5.959	-43.050	32.951	unknown	SEEG
E3	2.153	-43.367	32.951	unknown	SEEG
E4	-0.808	-43.791	33.799	unknown	SEEG
E5	-4.403	-44.956	34.222	unknown	SEEG
E6	-7.998	-45.168	34.222	unknown	SEEG
E7	-11.275	-46.121	34.858	unknown	SEEG
E8	-14.765	-47.064	34.964	unknown	SEEG
E9	-18.421	-47.490	35.811	unknown	SEEG
E10	-21.910	-48.018	36.129	unknown	SEEG
E11	-24.868	-48.970	36.541	unknown	SEEG
E12	-28.146	-50.135	37.070	unknown	SEEG
E13	-31.741	-50.665	37.600	unknown	SEEG
E14	-34.980	-51.384	38.040	unknown	SEEG
F1	8.792	-21.431	39.377	unknown	SEEG
F2	5.197	-22.008	39.306	unknown	SEEG
F3	1.142	-22.278	39.188	unknown	SEEG
F4	-2.838	-22.219	38.883	unknown	SEEG
F5	-6.645	-22.808	38.883	unknown	SEEG
F6	-10.451	-22.913	38.883	unknown	SEEG
F7	-14.325	-23.224	38.883	unknown	SEEG
F8	-18.238	-23.966	38.883	unknown	SEEG
F9	-22.044	-24.177	38.883	unknown	SEEG
F10	-26.062	-24.601	38.883	unknown	SEEG
F11	-30.291	-24.919	38.883	unknown	SEEG
F12	-33.853	-25.325	38.883	unknown	SEEG
F13	-38.188	-25.642	38.883	unknown	SEEG
F14	-41.782	-26.278	38.883	unknown	SEEG
F15	-46.223	-26.596	38.883	unknown	SEEG
F16	-50.092	-27.182	37.973	unknown	SEEG
G1	3.343	10.331	40.829	unknown	SEEG
G2	-0.041	9.801	40.829	unknown	SEEG
G3	-3.933	9.378	41.307	unknown	SEEG
G4	-8.268	9.060	42.154	unknown	SEEG
G5	-11.883	8.530	42.154	unknown	SEEG
G6	-15.689	7.895	42.154	unknown	SEEG
G7	-19.770	7.487	42.154	unknown	SEEG
G8	-23.577	7.169	42.154	unknown	SEEG
G9	-27.617	6.534	42.578	unknown	SEEG
G10	-31.106	6.216	43.107	unknown	SEEG
G11	-35.313	5.581	43.107	unknown	SEEG
G12	-39.120	5.051	43.107	unknown	SEEG
G13	-43.160	4.310	43.955	unknown	SEEG
G14	-47.261	3.462	43.955	unknown	SEEG
G15	-50.962	2.933	44.378	unknown	SEEG
G16	-54.854	1.965	44.500	unknown	SEEG
H1	13.896	7.271	44.993	unknown	SEEG
H2	17.385	8.012	44.993	unknown	SEEG
H3	20.663	8.330	44.993	unknown	SEEG
H4	24.221	8.852	44.993	unknown	SEEG
H5	27.711	9.169	44.993	unknown	SEEG
H6	31.236	9.699	45.628	unknown	SEEG
H7	34.408	10.334	46.158	unknown	SEEG
H8	38.072	10.864	46.158	unknown	SEEG
H9	41.849	11.280	46.158	unknown	SEEG
H10	44.718	12.127	46.987	unknown	SEEG
H11	48.419	12.127	47.411	unknown	SEEG
H12	51.803	12.762	47.835	unknown	SEEG
H13	55.503	13.080	47.941	unknown	SEEG
H14	58.781	13.080	48.470	unknown	SEEG
H15	62.227	13.733	48.500	unknown	SEEG
I1	14.685	19.194	44.500	unknown	SEEG
I2	17.794	18.790	48.032	unknown	SEEG
I3	20.005	18.472	49.938	unknown	SEEG
I4	22.437	18.472	52.699	unknown	SEEG
I5	24.955	17.863	54.903	unknown	SEEG
I6	27.281	17.338	57.551	unknown	SEEG
I7	29.078	16.812	59.775	unknown	SEEG
I8	31.828	16.287	62.635	unknown	SEEG
I9	34.048	15.762	65.177	unknown	SEEG
I10	36.586	15.236	67.613	unknown	SEEG
I11	39.455	14.482	70.500	unknown	SEEG
J1	6.269	-33.093	47.500	unknown	SEEG
J2	3.680	-33.057	48.648	unknown	SEEG
J3	-0.116	-33.586	50.130	unknown	SEEG
J4	-3.044	-33.888	50.978	unknown	SEEG
J5	-6.566	-34.841	52.566	unknown	SEEG
J6	-9.705	-34.841	53.414	unknown	SEEG
J7	-12.983	-35.370	54.791	unknown	SEEG
J8	-16.399	-35.582	56.062	unknown	SEEG
J9	-19.750	-35.582	57.005	unknown	SEEG
J10	-23.027	-36.112	58.064	unknown	SEEG
J11	-26.728	-36.112	59.653	unknown	SEEG
J12	-29.689	-36.112	60.500	unknown	SEEG
K1	20.869	-50.516	55.809	unknown	SEEG
K2	24.675	-50.304	54.749	unknown	SEEG
K3	27.935	-50.198	54.219	unknown	SEEG
K4	31.319	-50.198	53.584	unknown	SEEG
K5	34.508	-50.092	52.737	unknown	SEEG
K6	37.980	-50.092	51.889	unknown	SEEG
K7	41.680	-49.457	51.042	unknown	SEEG
K8	44.553	-49.033	50.407	unknown	SEEG
K9	47.936	-49.033	49.347	unknown	SEEG
K10	51.302	-48.414	48.500	unknown	SEEG
L1	22.721	-39.708	59.749	unknown	SEEG
L2	25.428	-38.353	58.959	unknown	SEEG
L3	28.975	-37.277	58.112	unknown	SEEG
L4	32.164	-35.727	57.397	unknown	SEEG
L5	35.548	-34.676	56.338	unknown	SEEG
L6	38.352	-33.506	55.808	unknown	SEEG
L7	41.736	-32.023	54.643	unknown	SEEG
L8	44.641	-30.998	53.690	unknown	SEEG
L9	48.185	-30.011	52.631	unknown	SEEG
L10	51.302	-28.740	51.889	unknown	SEEG
L11	55.003	-28.210	51.042	unknown	SEEG
L12	58.124	-26.833	50.500	unknown	SEEG
M1	6.538	9.209	54.012	unknown	SEEG
M2	3.789	7.832	54.012	unknown	SEEG
M3	0.617	7.095	54.541	unknown	SEEG
M4	-3.084	6.455	55.048	unknown	SEEG
M5	-6.432	5.835	55.048	unknown	SEEG
M6	-9.639	5.729	55.896	unknown	SEEG
M7	-13.085	5.202	56.743	unknown	SEEG
M8	-16.468	4.460	57.500	unknown	SEEG
M9	-20.424	4.037	57.908	unknown	SEEG
M10	-24.198	3.401	58.970	unknown	SEEG
M11	-27.464	2.977	59.500	unknown	SEEG
M12	-30.742	2.130	60.500	unknown	SEEG
M13	-34.243	2.130	60.983	unknown	SEEG
M14	-37.618	1.292	62.032	unknown	SEEG
