name	x	y	z	size	type
A1	-33.686	45.263	-19.498	unknown	SEEG
A2	-31.925	44.801	-15.572	unknown	SEEG
A3	-30.282	44.348	-11.643	unknown	SEEG
A4	-28.453	44.118	-7.611	unknown	SEEG
A5	-26.708	44.086	-3.696	unknown	SEEG
A6	-24.833	44.093	0.175	unknown	SEEG
A7	-22.933	44.057	4.468	unknown	SEEG
A8	-21.156	43.843	8.660	unknown	SEEG
A9	-19.282	43.495	12.922	unknown	SEEG
A10	-17.756	43.158	16.897	unknown	SEEG
A11	-16.475	42.747	21.086	unknown	SEEG
A12	-15.320	42.291	25.495	unknown	SEEG
A13	-14.297	42.218	30.118	unknown	SEEG
A14	-13.478	42.381	34.259	unknown	SEEG
A15	-12.796	42.514	38.286	unknown	SEEG
A16	-11.985	42.798	42.835	unknown	SEEG
B1	-33.635	49.608	-21.235	unknown	SEEG
B2	-33.369	47.688	-18.201	unknown	SEEG
B3	-33.072	45.431	-14.750	unknown	SEEG
B4	-32.745	43.007	-10.989	unknown	SEEG
B5	-32.038	40.742	-7.503	unknown	SEEG
B6	-30.985	38.279	-3.837	unknown	SEEG
B7	-30.099	35.865	-0.233	unknown	SEEG
B8	-29.024	33.342	3.752	unknown	SEEG
B9	-28.148	31.019	7.455	unknown	SEEG
B10	-27.287	29.047	11.350	unknown	SEEG
B11	-26.561	27.127	15.422	unknown	SEEG
B12	-26.136	25.718	19.168	unknown	SEEG
B13	-25.999	24.257	23.411	unknown	SEEG
B14	-25.896	23.166	27.764	unknown	SEEG
B15	-25.957	22.383	32.063	unknown	SEEG
B16	-26.021	21.573	36.799	unknown	SEEG
C1	-35.014	33.033	-24.161	unknown	SEEG
C2	-34.288	31.338	-21.094	unknown	SEEG
C3	-33.435	28.901	-17.247	unknown	SEEG
C4	-32.700	26.633	-13.444	unknown	SEEG
C5	-32.012	24.246	-9.881	unknown	SEEG
C6	-31.246	22.061	-5.951	unknown	SEEG
C7	-30.544	19.904	-2.460	unknown	SEEG
C8	-29.911	17.851	1.228	unknown	SEEG
C9	-29.099	15.434	4.934	unknown	SEEG
C10	-28.259	13.261	8.651	unknown	SEEG
C11	-27.411	11.066	12.459	unknown	SEEG
C12	-26.579	9.127	16.055	unknown	SEEG
C13	-25.829	7.152	19.711	unknown	SEEG
C14	-24.935	4.842	23.979	unknown	SEEG
C15	-24.462	2.901	27.926	unknown	SEEG
C16	-24.055	1.156	31.766	unknown	SEEG
D1	-24.370	22.608	6.399	unknown	SEEG
D2	-27.468	24.274	6.938	unknown	SEEG
D3	-30.328	25.880	7.442	unknown	SEEG
D4	-33.181	27.362	7.933	unknown	SEEG
