name	x	y	z	size	type
A1	16.084	36.609	17.133	unknown	SEEG
A2	19.160	36.466	16.500	unknown	SEEG
A3	22.282	36.346	15.500	unknown	SEEG
A4	25.645	35.985	14.500	unknown	SEEG
A5	29.128	35.985	13.500	unknown	SEEG
A6	32.920	35.581	12.770	unknown	SEEG
B1	19.880	22.867	7.650	unknown	SEEG
B2	22.523	22.266	6.927	unknown	SEEG
B3	25.765	21.318	6.500	unknown	SEEG
B4	29.128	20.821	5.843	unknown	SEEG
B5	32.371	19.979	5.000	unknown	SEEG
B6	36.185	19.281	3.994	unknown	SEEG
C1	9.764	-23.170	7.848	unknown	SEEG
C2	12.488	-23.349	7.168	unknown	SEEG
C3	15.731	-23.526	6.500	unknown	SEEG
C4	19.214	-23.951	5.963	unknown	SEEG
C5	23.057	-24.007	5.332	unknown	SEEG
D1	12.277	14.406	4.910	unknown	SEEG
D2	15.412	13.582	3.500	unknown	SEEG
D3	18.895	12.861	2.500	unknown	SEEG
D4	22.017	12.380	1.500	unknown	SEEG
D5	25.380	11.779	0.500	unknown	SEEG
D6	28.743	11.178	-0.500	unknown	SEEG
D7	31.866	10.697	-1.500	unknown	SEEG
D8	34.847	10.453	-2.500	unknown	SEEG
E1	22.092	29.078	0.853	unknown	SEEG
E2	25.500	28.731	-0.500	unknown	SEEG
E3	28.383	28.370	-1.500	unknown	SEEG
E4	31.866	27.889	-2.500	unknown	SEEG
E5	34.989	27.649	-3.667	unknown	SEEG
F1	-1.507	21.375	-5.500	unknown	SEEG
F2	1.570	21.375	-6.084	unknown	SEEG
F3	5.180	21.217	-7.048	unknown	SEEG
F4	8.550	21.062	-7.530	unknown	SEEG
F5	11.920	20.821	-8.012	unknown	SEEG
F6	15.651	20.801	-8.975	unknown	SEEG
F7	18.901	20.385	-9.457	unknown	SEEG
F8	22.030	20.099	-10.180	unknown	SEEG
F9	26.002	19.738	-11.144	unknown	SEEG
F10	29.372	19.553	-11.505	unknown	SEEG
F11	32.687	19.165	-12.500	unknown	SEEG
G1	1.969	2.534	-13.500	unknown	SEEG
G2	4.940	2.287	-14.397	unknown	SEEG
G3	8.310	2.287	-14.999	unknown	SEEG
G4	11.800	2.046	-15.842	unknown	SEEG
G5	15.050	1.805	-16.445	unknown	SEEG
G6	18.540	1.805	-17.168	unknown	SEEG
G7	21.669	1.444	-18.011	unknown	SEEG
G8	25.520	1.565	-18.975	unknown	SEEG
G9	28.770	1.083	-19.457	unknown	SEEG
G10	31.840	1.033	-20.165	unknown	SEEG
H1	-7.963	-3.072	-13.500	unknown	SEEG
H2	-4.620	-3.490	-14.758	unknown	SEEG
H3	-1.377	-3.731	-15.963	unknown	SEEG
H4	1.866	-4.212	-16.927	unknown	SEEG
H5	5.109	-4.573	-18.011	unknown	SEEG
H6	8.352	-5.055	-18.975	unknown	SEEG
H7	11.354	-5.416	-19.939	unknown	SEEG
H8	14.837	-5.897	-20.902	unknown	SEEG
H9	18.320	-6.252	-22.500	unknown	SEEG
H10	21.683	-6.492	-23.500	unknown	SEEG
H11	24.945	-6.878	-24.500	unknown	SEEG
