name	x	y	z	size	type
A1	7.615	55.277	32.608	unknown	SEEG
A2	8.421	56.647	35.431	unknown	SEEG
A3	9.122	58.089	38.498	unknown	SEEG
A4	9.928	59.536	41.490	unknown	SEEG
A5	10.605	60.921	44.328	unknown	SEEG
A6	11.390	62.280	47.266	unknown	SEEG
A7	12.186	63.844	50.510	unknown	SEEG
A8	13.050	65.444	53.635	unknown	SEEG
B1	4.241	32.578	37.363	unknown	SEEG
B2	5.627	33.109	40.269	unknown	SEEG
B3	7.138	33.745	43.596	unknown	SEEG
B4	8.789	34.444	47.267	unknown	SEEG
B5	10.164	35.009	50.202	unknown	SEEG
B6	11.601	35.542	53.084	unknown	SEEG
B7	13.078	36.014	56.144	unknown	SEEG
B8	14.589	36.536	59.533	unknown	SEEG
B9	16.159	37.048	62.810	unknown	SEEG
B10	17.682	37.596	65.814	unknown	SEEG
C1	5.248	10.746	39.148	unknown	SEEG
C2	6.349	10.424	42.216	unknown	SEEG
C3	7.474	9.858	45.319	unknown	SEEG
C4	8.833	9.312	49.023	unknown	SEEG
C5	10.005	8.845	52.226	unknown	SEEG
C6	11.309	8.460	55.792	unknown	SEEG
C7	12.554	8.011	59.011	unknown	SEEG
C8	13.842	7.532	62.369	unknown	SEEG
C9	15.270	7.139	65.848	unknown	SEEG
C10	16.679	6.736	69.213	unknown	SEEG
D1	6.086	21.200	37.610	unknown	SEEG
D2	8.246	21.206	39.608	unknown	SEEG
D3	11.537	20.907	42.504	unknown	SEEG
D4	14.184	20.556	45.030	unknown	SEEG
D5	16.590	20.367	47.150	unknown	SEEG
D6	19.144	20.286	49.182	unknown	SEEG
D7	21.785	19.998	51.432	unknown	SEEG
D8	24.387	19.977	53.621	unknown	SEEG
D9	27.154	19.937	56.101	unknown	SEEG
D10	29.864	19.811	58.381	unknown	SEEG
E1	5.707	-3.556	33.150	unknown	SEEG
E2	7.017	-3.832	36.067	unknown	SEEG
E3	8.276	-3.774	39.363	unknown	SEEG
E4	9.515	-4.001	42.608	unknown	SEEG
E5	10.856	-3.952	45.787	unknown	SEEG
E6	12.200	-4.128	48.932	unknown	SEEG
E7	13.448	-4.232	51.921	unknown	SEEG
E8	14.855	-4.315	55.147	unknown	SEEG
