name	x	y	z	size	type
A1	-33.617	-37.538	6.500	unknown	SEEG
A2	-36.478	-37.328	6.810	unknown	SEEG
A3	-39.957	-37.560	7.120	unknown	SEEG
A4	-43.359	-37.638	7.042	unknown	SEEG
A5	-47.071	-37.870	7.042	unknown	SEEG
A6	-50.737	-38.082	7.500	unknown	SEEG
B1	-10.480	-62.748	20.500	unknown	SEEG
B2	-13.649	-63.135	20.035	unknown	SEEG
B3	-16.819	-63.445	19.493	unknown	SEEG
B4	-20.453	-63.522	18.951	unknown	SEEG
B5	-24.087	-63.987	18.564	unknown	SEEG
B6	-27.566	-64.219	18.099	unknown	SEEG
B7	-30.813	-64.529	17.557	unknown	SEEG
B8	-34.185	-64.828	17.178	unknown	SEEG
B9	-37.666	-64.983	17.023	unknown	SEEG
B10	-41.298	-65.215	16.326	unknown	SEEG
B11	-44.856	-65.215	15.707	unknown	SEEG
C1	-8.365	-37.500	30.834	unknown	SEEG
C2	-11.613	-37.500	30.834	unknown	SEEG
C3	-15.091	-37.345	30.059	unknown	SEEG
C4	-18.648	-37.035	29.982	unknown	SEEG
C5	-22.127	-36.803	29.517	unknown	SEEG
C6	-25.451	-36.803	29.052	unknown	SEEG
C7	-29.125	-36.653	28.902	unknown	SEEG
C8	-32.541	-36.498	28.515	unknown	SEEG
C9	-36.329	-36.420	28.127	unknown	SEEG
C10	-39.717	-36.188	28.127	unknown	SEEG
C11	-43.210	-36.343	27.740	unknown	SEEG
C12	-46.612	-36.111	27.198	unknown	SEEG
C13	-50.292	-36.188	26.977	unknown	SEEG
C14	-53.877	-36.015	26.500	unknown	SEEG
D1	-10.256	20.254	43.298	unknown	SEEG
D2	-14.044	19.557	42.911	unknown	SEEG
D3	-17.678	18.705	42.601	unknown	SEEG
D4	-21.853	17.775	41.982	unknown	SEEG
D5	-25.487	17.078	41.982	unknown	SEEG
D6	-29.555	16.084	41.982	unknown	SEEG
D7	-33.450	15.310	41.285	unknown	SEEG
D8	-37.286	14.536	40.898	unknown	SEEG
D9	-41.120	13.785	40.898	unknown	SEEG
D10	-45.094	12.933	40.975	unknown	SEEG
D11	-48.728	12.159	40.898	unknown	SEEG
