name	x	y	z	size	type
A1	38.690	-22.942	31.000	unknown	SEEG
A2	40.995	-24.570	33.000	unknown	SEEG
A3	43.707	-26.471	34.000	unknown	SEEG
A4	46.283	-28.235	35.000	unknown	SEEG
A5	48.859	-29.999	36.000	unknown	SEEG
A6	51.435	-31.900	37.000	unknown	SEEG
A7	53.876	-33.664	38.000	unknown	SEEG
A8	56.859	-35.700	40.000	unknown	SEEG
A9	59.842	-37.600	41.000	unknown	SEEG
A10	62.288	-39.188	42.486	unknown	SEEG
B1	46.825	-37.125	-5.462	unknown	SEEG
B2	47.910	-37.057	-2.000	unknown	SEEG
B3	49.537	-37.057	3.000	unknown	SEEG
B4	50.486	-36.786	7.000	unknown	SEEG
B5	51.571	-36.921	11.000	unknown	SEEG
B6	52.656	-36.921	15.000	unknown	SEEG
B7	53.605	-36.650	19.000	unknown	SEEG
B8	54.554	-36.650	22.000	unknown	SEEG
B9	55.639	-36.650	25.000	unknown	SEEG
B10	56.317	-36.650	29.000	unknown	SEEG
B11	57.266	-36.379	33.000	unknown	SEEG
B12	58.350	-36.379	36.000	unknown	SEEG
B13	59.300	-36.379	40.000	unknown	SEEG
B14	60.384	-36.650	44.000	unknown	SEEG
B15	61.492	-37.173	47.702	unknown	SEEG
C1	55.806	6.703	-9.243	unknown	SEEG
C2	59.107	5.983	-8.368	unknown	SEEG
C3	62.090	4.901	-8.504	unknown	SEEG
C4	65.480	3.838	-8.000	unknown	SEEG
C5	69.276	2.888	-8.000	unknown	SEEG
C6	72.530	2.060	-7.691	unknown	SEEG
C7	75.649	0.987	-7.000	unknown	SEEG
C8	79.039	0.031	-6.608	unknown	SEEG
C9	82.293	-0.916	-6.202	unknown	SEEG
C10	85.547	-1.863	-5.525	unknown	SEEG
C11	88.937	-2.946	-5.525	unknown	SEEG
C12	92.183	-3.622	-4.983	unknown	SEEG
D1	41.774	20.145	42.000	unknown	SEEG
D2	44.192	18.225	42.000	unknown	SEEG
D3	47.175	16.655	42.523	unknown	SEEG
D4	50.565	15.167	42.658	unknown	SEEG
D5	53.819	13.679	43.471	unknown	SEEG
D6	57.073	11.785	43.471	unknown	SEEG
D7	60.056	10.297	43.606	unknown	SEEG
D8	63.175	8.674	44.283	unknown	SEEG
D9	66.293	6.915	44.419	unknown	SEEG
D10	69.547	5.466	45.000	unknown	SEEG
D11	72.666	3.803	45.367	unknown	SEEG
D12	75.513	2.315	45.638	unknown	SEEG
D13	78.767	0.716	46.000	unknown	SEEG
D14	82.293	-0.981	45.960	unknown	SEEG
E1	62.906	-22.578	-3.765	unknown	SEEG
E2	63.313	-21.153	0.000	unknown	SEEG
E3	63.584	-19.795	5.000	unknown	SEEG
E4	63.855	-18.167	9.000	unknown	SEEG
E5	63.991	-16.674	13.000	unknown	SEEG
E6	64.398	-15.452	17.000	unknown	SEEG
E7	64.398	-13.823	21.000	unknown	SEEG
E8	64.533	-12.466	25.000	unknown	SEEG
E9	64.669	-10.838	30.000	unknown	SEEG
E10	64.398	-9.209	34.000	unknown	SEEG
E11	64.669	-8.394	37.000	unknown	SEEG
E12	64.940	-6.359	42.000	unknown	SEEG
E13	65.211	-5.273	46.000	unknown	SEEG
E14	65.483	-3.916	50.000	unknown	SEEG
E15	66.017	-2.578	53.767	unknown	SEEG
F1	42.836	13.406	35.721	unknown	SEEG
F2	44.056	12.388	39.000	unknown	SEEG
F3	45.412	11.167	42.000	unknown	SEEG
F4	46.361	9.945	45.000	unknown	SEEG
F5	47.717	8.995	48.000	unknown	SEEG
F6	48.938	7.909	51.000	unknown	SEEG
F7	49.887	6.959	54.000	unknown	SEEG
F8	51.107	5.738	57.000	unknown	SEEG
F9	52.327	4.516	60.000	unknown	SEEG
G1	68.602	-5.348	25.094	unknown	SEEG
G2	71.564	-4.684	24.404	unknown	SEEG
G3	74.787	-4.292	23.447	unknown	SEEG
G4	78.073	-3.613	23.000	unknown	SEEG
G5	81.522	-2.935	22.503	unknown	SEEG
G6	84.754	-2.392	22.368	unknown	SEEG
G7	87.971	-1.843	21.560	unknown	SEEG
G8	91.691	-1.031	21.289	unknown	SEEG
H1	53.718	35.709	-11.858	unknown	SEEG
H2	56.514	34.127	-11.645	unknown	SEEG
H3	59.903	32.774	-11.510	unknown	SEEG
H4	63.022	31.556	-11.510	unknown	SEEG
H5	66.276	29.662	-11.510	unknown	SEEG
H6	69.530	28.580	-11.510	unknown	SEEG
H7	72.513	26.957	-11.510	unknown	SEEG
H8	75.632	25.874	-11.510	unknown	SEEG
H9	79.157	24.386	-11.374	unknown	SEEG
H10	81.869	23.169	-11.374	unknown	SEEG
H11	85.123	21.631	-11.000	unknown	SEEG
H12	88.513	20.139	-11.000	unknown	SEEG
H13	91.632	18.781	-11.000	unknown	SEEG
H14	94.615	17.288	-11.000	unknown	SEEG
H15	98.004	15.999	-11.103	unknown	SEEG
I1	43.185	30.938	25.263	unknown	SEEG
I2	44.114	30.810	28.000	unknown	SEEG
I3	45.064	30.810	31.000	unknown	SEEG
I4	45.742	31.218	34.000	unknown	SEEG
I5	46.691	31.353	37.000	unknown	SEEG
I6	47.504	31.353	40.000	unknown	SEEG
I7	48.318	31.760	43.000	unknown	SEEG
I8	49.267	31.760	47.000	unknown	SEEG
I9	50.080	31.896	50.000	unknown	SEEG
I10	51.030	32.032	53.000	unknown	SEEG
I11	51.724	31.969	55.605	unknown	SEEG
J1	40.871	34.360	18.043	unknown	SEEG
J2	41.809	36.763	18.326	unknown	SEEG
J3	42.623	39.875	18.461	unknown	SEEG
J4	43.572	43.433	18.043	unknown	SEEG
J5	44.792	46.690	18.043	unknown	SEEG
J6	45.877	50.021	18.461	unknown	SEEG
J7	46.691	53.268	18.596	unknown	SEEG
J8	47.640	56.785	18.461	unknown	SEEG
J9	48.589	60.263	19.000	unknown	SEEG
J10	49.809	63.520	19.000	unknown	SEEG
J11	50.894	66.778	19.000	unknown	SEEG
J12	51.843	70.171	19.000	unknown	SEEG
J13	52.928	73.564	19.000	unknown	SEEG
J14	54.148	76.957	19.000	unknown	SEEG
J15	54.910	80.189	19.680	unknown	SEEG
K1	50.487	53.409	-11.000	unknown	SEEG
K2	52.657	52.391	-11.000	unknown	SEEG
K3	56.318	51.169	-11.000	unknown	SEEG
K4	59.707	49.540	-11.000	unknown	SEEG
K5	62.690	48.455	-11.000	unknown	SEEG
K6	65.809	46.826	-11.000	unknown	SEEG
K7	68.928	45.562	-11.271	unknown	SEEG
K8	72.182	44.209	-11.542	unknown	SEEG
K9	75.572	42.451	-11.677	unknown	SEEG
K10	78.586	40.990	-11.674	unknown	SEEG
K11	81.684	39.633	-11.674	unknown	SEEG
K12	84.927	38.275	-12.000	unknown	SEEG
K13	88.453	36.498	-12.219	unknown	SEEG
K14	91.436	35.281	-12.490	unknown	SEEG
K15	94.554	33.793	-12.354	unknown	SEEG
K16	97.458	32.596	-12.378	unknown	SEEG
