name	x	y	z	size	type
A1	2.989	37.548	19.437	unknown	SEEG
A2	6.179	38.455	20.561	unknown	SEEG
A3	9.260	39.425	21.355	unknown	SEEG
A4	12.694	40.572	22.502	unknown	SEEG
A5	16.040	41.806	23.296	unknown	SEEG
A6	19.209	42.953	24.089	unknown	SEEG
A7	22.171	44.099	24.768	unknown	SEEG
A8	25.517	45.234	25.650	unknown	SEEG
A9	28.774	46.557	26.444	unknown	SEEG
A10	32.208	47.669	27.502	unknown	SEEG
A11	35.466	48.727	28.296	unknown	SEEG
A12	38.547	50.227	29.000	unknown	SEEG
A13	41.717	51.439	29.971	unknown	SEEG
A14	44.798	52.407	30.522	unknown	SEEG
A15	48.056	53.755	32.000	unknown	SEEG
B1	7.464	-34.208	26.557	unknown	SEEG
B2	10.721	-34.208	26.122	unknown	SEEG
B3	13.979	-34.560	25.592	unknown	SEEG
B4	17.566	-34.817	25.239	unknown	SEEG
B5	21.088	-35.082	24.534	unknown	SEEG
B6	24.394	-35.000	24.352	unknown	SEEG
B7	27.739	-35.346	23.917	unknown	SEEG
B8	31.477	-35.611	23.476	unknown	SEEG
B9	34.519	-35.699	23.123	unknown	SEEG
B10	38.041	-35.964	22.417	unknown	SEEG
B11	41.691	-36.228	22.417	unknown	SEEG
B12	45.084	-36.228	22.153	unknown	SEEG
B13	48.891	-36.531	21.384	unknown	SEEG
C1	-29.962	-5.815	21.395	unknown	SEEG
C2	-33.044	-7.315	22.000	unknown	SEEG
C3	-36.204	-8.638	22.272	unknown	SEEG
C4	-39.285	-9.961	22.448	unknown	SEEG
C5	-42.543	-11.460	22.624	unknown	SEEG
C6	-46.065	-13.017	23.242	unknown	SEEG
C7	-49.091	-14.622	23.393	unknown	SEEG
D1	36.910	0.997	26.000	unknown	SEEG
D2	39.551	-0.061	28.999	unknown	SEEG
D3	41.400	-0.591	31.328	unknown	SEEG
D4	44.042	-1.649	34.202	unknown	SEEG
D5	46.067	-2.178	36.331	unknown	SEEG
D6	48.861	-2.825	39.000	unknown	SEEG
E1	4.955	-46.503	36.000	unknown	SEEG
E2	1.697	-46.591	36.529	unknown	SEEG
E3	-1.913	-47.031	36.706	unknown	SEEG
E4	-5.347	-47.120	37.147	unknown	SEEG
E5	-8.868	-47.914	37.588	unknown	SEEG
E6	-12.038	-48.090	37.588	unknown	SEEG
E7	-15.912	-48.531	37.940	unknown	SEEG
E8	-19.258	-48.970	38.469	unknown	SEEG
E9	-22.656	-49.411	38.911	unknown	SEEG
E10	-26.177	-49.852	39.559	unknown	SEEG
F1	-2.042	5.973	41.918	unknown	SEEG
F2	-5.740	5.885	42.271	unknown	SEEG
F3	-8.998	5.885	42.359	unknown	SEEG
F4	-12.520	5.885	42.535	unknown	SEEG
F5	-16.130	5.620	42.535	unknown	SEEG
F6	-19.475	5.797	42.535	unknown	SEEG
F7	-23.173	5.885	43.241	unknown	SEEG
F8	-26.576	5.972	43.506	unknown	SEEG
F9	-30.100	5.796	43.506	unknown	SEEG
F10	-33.708	5.796	43.770	unknown	SEEG
F11	-37.406	5.796	44.211	unknown	SEEG
F12	-40.839	5.707	44.388	unknown	SEEG
F13	-44.539	5.439	44.471	unknown	SEEG
F14	-48.204	5.527	45.000	unknown	SEEG
G1	-4.599	-10.431	45.000	unknown	SEEG
G2	-7.399	-10.961	44.814	unknown	SEEG
G3	-11.203	-11.666	44.814	unknown	SEEG
G4	-14.178	-12.372	45.343	unknown	SEEG
G5	-17.524	-12.901	45.608	unknown	SEEG
G6	-21.064	-13.518	45.608	unknown	SEEG
G7	-24.586	-13.871	45.608	unknown	SEEG
G8	-28.171	-14.293	45.608	unknown	SEEG
G9	-31.556	-14.571	46.000	unknown	SEEG
H1	5.963	-30.624	47.000	unknown	SEEG
H2	8.676	-30.359	47.365	unknown	SEEG
H3	12.373	-30.095	46.748	unknown	SEEG
H4	15.719	-29.654	46.572	unknown	SEEG
H5	19.228	-29.571	46.572	unknown	SEEG
H6	22.750	-29.218	46.047	unknown	SEEG
H7	26.270	-29.130	45.694	unknown	SEEG
H8	29.968	-28.954	45.430	unknown	SEEG
H9	33.313	-28.777	44.989	unknown	SEEG
H10	36.747	-28.513	44.459	unknown	SEEG
H11	40.359	-28.457	44.000	unknown	SEEG
I1	2.596	-6.547	48.000	unknown	SEEG
I2	-0.662	-6.246	48.604	unknown	SEEG
I3	-4.072	-5.753	48.871	unknown	SEEG
I4	-7.617	-5.894	49.574	unknown	SEEG
I5	-10.963	-5.577	49.574	unknown	SEEG
I6	-14.461	-5.665	50.370	unknown	SEEG
I7	-18.007	-5.489	50.370	unknown	SEEG
I8	-21.417	-5.661	50.458	unknown	SEEG
I9	-25.092	-6.102	50.970	unknown	SEEG
I10	-28.591	-6.102	51.499	unknown	SEEG
I11	-31.872	-6.102	51.602	unknown	SEEG
I12	-35.408	-6.306	52.000	unknown	SEEG
J1	1.634	-26.772	51.000	unknown	SEEG
J2	-1.184	-27.389	51.353	unknown	SEEG
J3	-4.441	-27.618	51.515	unknown	SEEG
J4	-8.051	-27.742	51.794	unknown	SEEG
J5	-11.485	-28.183	52.588	unknown	SEEG
J6	-15.359	-28.712	52.852	unknown	SEEG
J7	-18.441	-29.153	53.381	unknown	SEEG
J8	-21.938	-29.661	54.000	unknown	SEEG
