name	x	y	z	size	type
A1	19.130	0.000	-5.112	unknown	SEEG
A2	22.559	-0.239	-5.112	unknown	SEEG
A3	25.351	-0.611	-5.769	unknown	SEEG
A4	29.103	-1.047	-6.031	unknown	SEEG
A5	32.332	-1.288	-6.031	unknown	SEEG
A6	35.822	-1.725	-6.031	unknown	SEEG
A7	39.749	-2.543	-6.618	unknown	SEEG
A8	42.803	-2.949	-6.618	unknown	SEEG
A9	46.380	-3.561	-6.618	unknown	SEEG
A10	50.045	-4.347	-6.890	unknown	SEEG
A11	53.099	-4.959	-6.890	unknown	SEEG
A12	56.764	-5.484	-6.890	unknown	SEEG
A13	60.305	-6.270	-6.969	unknown	SEEG
A14	63.653	-6.900	-7.042	unknown	SEEG
B1	24.168	16.296	-1.500	unknown	SEEG
B2	27.135	15.858	-2.199	unknown	SEEG
B3	30.014	16.208	-2.199	unknown	SEEG
B4	33.417	16.043	-2.772	unknown	SEEG
B5	36.960	15.615	-3.598	unknown	SEEG
B6	40.276	15.607	-4.170	unknown	SEEG
B7	43.592	14.909	-4.695	unknown	SEEG
B8	46.821	14.560	-5.394	unknown	SEEG
B9	50.398	14.909	-6.006	unknown	SEEG
B10	53.627	13.862	-6.355	unknown	SEEG
B11	56.856	13.338	-7.142	unknown	SEEG
B12	60.346	13.164	-7.667	unknown	SEEG
B13	63.487	12.815	-7.929	unknown	SEEG
B14	67.479	12.581	-8.500	unknown	SEEG
C1	33.607	38.386	-5.892	unknown	SEEG
C2	36.661	37.861	-5.892	unknown	SEEG
C3	40.326	37.686	-5.892	unknown	SEEG
C4	43.749	37.094	-5.154	unknown	SEEG
C5	47.447	36.744	-5.154	unknown	SEEG
C6	50.589	36.133	-5.154	unknown	SEEG
C7	54.133	35.608	-5.154	unknown	SEEG
C8	57.274	34.996	-4.629	unknown	SEEG
C9	61.113	34.384	-4.192	unknown	SEEG
C10	64.691	33.860	-3.930	unknown	SEEG
C11	67.896	33.228	-3.500	unknown	SEEG
D1	44.222	21.160	10.295	unknown	SEEG
D2	47.117	20.792	12.130	unknown	SEEG
D3	49.981	19.918	13.791	unknown	SEEG
D4	52.599	19.569	15.365	unknown	SEEG
D5	55.828	18.607	17.113	unknown	SEEG
D6	58.849	17.908	19.094	unknown	SEEG
D7	61.689	17.296	20.500	unknown	SEEG
D8	64.783	16.597	21.979	unknown	SEEG
D9	68.179	15.232	23.795	unknown	SEEG
E1	34.565	0.536	37.528	unknown	SEEG
E2	37.445	-0.950	36.500	unknown	SEEG
E3	40.411	-2.436	35.867	unknown	SEEG
E4	43.291	-3.922	35.168	unknown	SEEG
E5	46.607	-5.310	34.294	unknown	SEEG
E6	49.748	-6.599	33.419	unknown	SEEG
E7	52.870	-8.539	32.895	unknown	SEEG
E8	55.769	-9.921	32.108	unknown	SEEG
E9	59.521	-11.680	30.885	unknown	SEEG
E10	62.081	-13.124	30.145	unknown	SEEG
F1	6.141	-22.971	32.859	unknown	SEEG
F2	9.108	-24.020	32.859	unknown	SEEG
F3	12.249	-25.093	33.173	unknown	SEEG
F4	15.478	-26.293	33.173	unknown	SEEG
F5	18.619	-27.341	33.783	unknown	SEEG
F6	21.911	-28.699	33.783	unknown	SEEG
F7	24.989	-29.747	34.045	unknown	SEEG
F8	28.305	-30.796	34.045	unknown	SEEG
F9	31.946	-32.108	34.045	unknown	SEEG
F10	35.000	-33.331	34.045	unknown	SEEG
F11	38.316	-34.380	34.045	unknown	SEEG
F12	41.806	-35.604	34.045	unknown	SEEG
F13	45.453	-36.611	34.736	unknown	SEEG
F14	48.452	-37.971	35.152	unknown	SEEG
G1	6.076	19.039	37.832	unknown	SEEG
G2	9.653	19.039	39.056	unknown	SEEG
G3	13.493	19.476	40.105	unknown	SEEG
G4	17.578	19.695	41.299	unknown	SEEG
G5	21.114	19.625	42.498	unknown	SEEG
G6	25.108	19.744	43.453	unknown	SEEG
G7	29.101	19.923	44.528	unknown	SEEG
G8	32.977	19.923	45.543	unknown	SEEG
G9	36.612	19.923	46.558	unknown	SEEG
G10	40.486	19.923	47.871	unknown	SEEG
G11	44.047	19.923	48.754	unknown	SEEG
G12	48.338	19.923	49.889	unknown	SEEG
G13	51.735	19.923	51.023	unknown	SEEG
G14	55.663	20.125	52.500	unknown	SEEG
H1	4.952	-18.735	41.848	unknown	SEEG
H2	8.647	-19.213	41.848	unknown	SEEG
H3	11.984	-19.929	42.027	unknown	SEEG
H4	15.300	-20.107	42.027	unknown	SEEG
H5	18.339	-20.585	42.027	unknown	SEEG
H6	21.617	-21.182	42.027	unknown	SEEG
H7	25.193	-21.715	42.326	unknown	SEEG
H8	28.453	-22.302	42.326	unknown	SEEG
H9	32.166	-22.780	43.042	unknown	SEEG
H10	35.486	-23.437	43.042	unknown	SEEG
H11	38.942	-23.735	43.042	unknown	SEEG
H12	42.161	-24.099	43.401	unknown	SEEG
H13	45.536	-24.865	43.401	unknown	SEEG
H14	49.052	-25.581	43.759	unknown	SEEG
H15	52.718	-26.015	43.804	unknown	SEEG
I1	7.805	3.469	51.500	unknown	SEEG
I2	10.487	2.693	51.082	unknown	SEEG
I3	13.444	1.562	50.664	unknown	SEEG
I4	16.983	0.146	50.127	unknown	SEEG
I5	19.761	-1.120	49.530	unknown	SEEG
I6	23.278	-2.003	49.237	unknown	SEEG
I7	26.552	-3.197	48.939	unknown	SEEG
I8	29.715	-4.331	48.939	unknown	SEEG
I9	33.048	-5.585	48.103	unknown	SEEG
I10	35.946	-6.642	48.103	unknown	SEEG
I11	38.747	-7.617	47.500	unknown	SEEG
I12	42.679	-8.910	47.103	unknown	SEEG
I13	45.720	-9.925	47.103	unknown	SEEG
I14	49.056	-11.179	46.983	unknown	SEEG
I15	52.572	-12.385	46.028	unknown	SEEG
I16	55.558	-13.582	46.500	unknown	SEEG
J1	0.036	-45.260	52.460	unknown	SEEG
J2	3.075	-45.678	52.460	unknown	SEEG
J3	6.591	-46.335	52.699	unknown	SEEG
J4	9.869	-46.980	53.057	unknown	SEEG
J5	13.505	-47.398	53.057	unknown	SEEG
J6	16.759	-48.174	53.057	unknown	SEEG
J7	19.917	-48.831	53.057	unknown	SEEG
J8	23.295	-49.638	53.948	unknown	SEEG
K1	5.518	13.497	61.294	unknown	SEEG
K2	7.723	10.278	60.935	unknown	SEEG
K3	10.397	7.058	60.199	unknown	SEEG
K4	12.778	3.855	60.199	unknown	SEEG
K5	15.043	0.325	60.040	unknown	SEEG
K6	17.237	-2.736	60.040	unknown	SEEG
K7	19.621	-5.903	59.927	unknown	SEEG
K8	21.840	-9.243	59.363	unknown	SEEG
K9	24.091	-12.042	59.330	unknown	SEEG
K10	26.644	-15.472	59.330	unknown	SEEG
K11	28.968	-18.837	59.151	unknown	SEEG
